semiconductor_breadth,semiconductor_specific_return,target_catchup_gap,quantile,signal_date
3,0.030200740900719815,0.014063703465283885,0.5,2021-07-07
3,0.004181512666995438,0.006948651409907006,0.5,2021-07-12
3,0.00859035085191584,0.012144882368583909,0.5,2021-07-14
3,0.00902648752128643,0.01181526084557838,0.5,2021-07-19
3,0.03016472379115768,0.017633274896072283,0.5,2021-07-21
3,0.013020948656211914,0.01148484798140755,0.5,2021-07-23
3,0.03571182075251248,0.003452840573449116,0.5,2021-07-27
3,0.04933230591846138,0.023683083309416153,0.5,2021-07-29
3,0.036408965517830426,0.016780949357983653,0.5,2021-08-04
3,0.00913559420542261,0.01380144415981351,0.5,2021-08-11
3,0.016398490878979228,0.018881357035013886,0.5,2021-08-16
3,0.026888525396418655,0.004167024194332718,0.5,2021-08-19
3,0.009022311781558212,0.009871871774198349,0.5,2021-08-24
3,0.010494282534102192,0.02563244422893548,0.5,2021-08-27
3,0.03299588090701078,0.02352156189831578,0.5,2021-09-10
3,0.026680666551702314,0.0036004142649279647,0.5,2021-09-14
3,0.015188481855190172,0.015159469955847937,0.5,2021-09-22
3,0.007293327984329874,0.02197457329560389,0.5,2021-09-28
3,0.011611351887848603,0.010562554438438381,0.5,2021-10-13
3,0.028917501948813262,0.02640949173779461,0.5,2021-10-15
3,0.020216221181457012,0.018958850535928457,0.5,2021-10-22
3,0.008645432789783358,0.003978781796404318,0.5,2021-11-01
3,0.029154534067837117,0.010883162222708503,0.5,2021-11-09
3,0.014085879228905508,0.01525575345398781,0.5,2021-11-11
3,0.04403593981785159,0.020169673068593186,0.5,2021-11-22
3,0.015453433159193897,0.012115402525573304,0.5,2021-11-25
3,0.009871662540848664,0.00825576292429316,0.5,2021-11-30
3,0.011341074909013853,0.0102504361354742,0.5,2021-12-03
3,0.009274368843970631,0.013615301274312468,0.5,2021-12-08
3,0.005415527245600496,0.0032866323355946006,0.5,2021-12-13
3,0.00712198911439325,0.005826999283638649,0.5,2021-12-22
3,0.0016676333794303222,0.0064983440725189245,0.5,2021-12-24
3,0.019352754688562197,0.010099692140800382,0.5,2021-12-30
3,0.010511716607019772,0.009034259167261416,0.5,2022-01-06
3,0.005648675691412327,0.0038530209831362985,0.5,2022-01-12
3,0.02866950920280124,0.009481875973717118,0.5,2022-01-14
3,0.01246493729116575,0.0020900180927171767,0.5,2022-01-24
3,0.0065350944294321565,0.011161117450133299,0.5,2022-01-26
3,0.003322995292377154,0.01055213720569285,0.5,2022-02-09
3,0.025873553414784034,0.00918369575497402,0.5,2022-02-15
3,0.011464864659199492,0.007411064486145591,0.5,2022-02-17
3,0.016321887684558077,0.01376197483052751,0.5,2022-02-22
3,0.008448839305837213,0.0033197556363619247,0.5,2022-02-24
3,0.020747443893942452,0.01749860998237973,0.5,2022-03-04
3,0.021943449369141055,0.028618732635555366,0.5,2022-03-08
3,0.006085399582390925,0.025754972008332842,0.5,2022-03-16
2,0.000563860473109079,0.013223205241602143,0.5,2022-04-12
3,0.014375894266275429,0.013055136480000378,0.5,2022-04-14
3,0.041861903946386704,0.007531021548874563,0.5,2022-04-18
3,0.003641912466671263,0.003868013450210298,0.5,2022-04-20
3,0.056069585953389,0.0307999346132614,0.5,2022-04-27
3,0.0294062079190592,0.01582710417180818,0.5,2022-05-10
3,0.02979732622819261,0.02030969773958454,0.5,2022-05-17
3,0.025649651412872933,0.00192329857629462,0.5,2022-05-19
3,0.012296000371848931,0.0035207077499680066,0.5,2022-05-23
3,0.02563027849558956,0.004483915676775235,0.5,2022-06-16
3,0.0040541480159580106,0.006593977154724835,0.5,2022-06-20
3,0.007491117479673237,0.006471674640301295,0.5,2022-06-23
3,0.0017738229087673005,0.013381051102991185,0.5,2022-06-27
3,0.014669618647553229,0.013460218857102912,0.5,2022-06-30
3,0.006407754056948193,0.01105112902808462,0.5,2022-07-05
3,0.00662424066522697,0.005852391289619933,0.5,2022-07-08
3,0.011754380529135208,0.0018207294684867334,0.5,2022-07-15
3,0.029110438661835564,0.0025341013948925913,0.5,2022-07-21
3,0.014638140191591672,0.008977670284297709,0.5,2022-07-28
3,0.015141080480783515,0.0011665254600355564,0.5,2022-08-01
3,0.04361568309270318,0.03237860743401948,0.5,2022-08-03
3,0.052222517219262896,0.01910577328930023,0.5,2022-08-05
3,0.019005838715525043,0.01527026199802924,0.5,2022-08-09
3,0.02145742833229891,0.0022214272665148638,0.5,2022-08-18
3,0.009467015295252772,0.009094854514715294,0.5,2022-08-30
3,0.01590337697822867,0.004869244986531221,0.5,2022-09-02
3,0.01410342181077014,-0.0002636375266142181,0.5,2022-09-07
3,0.01844346536871681,0.006273999614345421,0.5,2022-09-14
3,0.010913915224946965,0.0035364469827788483,0.5,2022-09-26
3,0.025477206126109264,0.00458820753893785,0.5,2022-10-12
3,0.028881482096603833,0.010060101262068615,0.5,2022-10-17
3,0.010686443540731042,0.003918516606962888,0.5,2022-10-19
3,0.02672608402956726,-0.00028651470372128185,0.5,2022-10-24
3,0.021042722156790518,0.00793761383905848,0.5,2022-10-27
3,0.034323439696240785,0.012572519952406418,0.5,2022-10-31
3,0.04213748970707935,0.021539513726429295,0.5,2022-11-03
2,0.0004202763952330102,0.002875314892052616,0.5,2022-11-09
3,0.02014686927953946,0.002107671256673882,0.5,2022-11-14
3,0.029560341240549737,0.01834280724677395,0.5,2022-11-17
3,0.010861488933374241,0.020596141991909067,0.5,2022-12-06
3,0.0009672864767952625,0.009667261619723458,0.5,2022-12-09
3,0.019636491297108243,0.011938138729226704,0.5,2022-12-15
3,0.018138061184873006,0.006738725839709543,0.5,2022-12-20
3,0.011174820847170771,0.0016809787900849606,0.5,2022-12-27
3,0.0009210325330778111,0.0041214881829545105,0.5,2023-01-09
3,0.02539647709317331,0.020575744487862847,0.5,2023-01-16
3,0.01487265943639815,0.003423047172365745,0.5,2023-01-19
3,0.008678378216053106,0.0043657524925959645,0.5,2023-02-01
3,0.033031313698466645,0.01774544311599454,0.5,2023-02-09
3,0.016327572575416803,0.008380163815391825,0.5,2023-02-15
3,0.009664064550688134,0.003843060427476841,0.5,2023-02-22
3,0.010696717793125532,0.004318077192097203,0.5,2023-03-03
3,0.011305024395704097,0.005371757101988081,0.5,2023-03-08
3,0.009679530707672282,0.0024113602816070814,0.5,2023-03-10
3,0.03916226066377119,0.019441946630404917,0.5,2023-03-14
3,0.00862807052462237,0.011575513706440535,0.5,2023-03-16
3,0.027329065804453007,0.012121878424413774,0.5,2023-03-20
2,-0.00033623352678428353,0.0016712947040815236,0.5,2023-03-22
3,0.03822353544280225,0.0103555451726031,0.5,2023-03-29
3,0.01107809410044654,0.015109732865613196,0.5,2023-04-04
2,0.002967003898617778,0.005881802342167915,0.5,2023-04-11
3,0.03394002532283236,0.01141363194773204,0.5,2023-04-14
3,0.03640158064668564,0.005077374822310743,0.5,2023-04-20
3,0.015751779675313344,0.001636739768202073,0.5,2023-04-28
2,0.0012957355870916918,0.001338926062784925,0.5,2023-05-11
3,0.011341383961229523,0.00638117647442682,0.5,2023-05-16
3,0.0151084551080789,0.011406702402399382,0.5,2023-05-19
3,0.01718974829032749,0.006815146658241122,0.5,2023-05-24
3,0.0023760546958266162,0.011136488290691507,0.5,2023-05-29
3,0.016586666592913336,0.00042253684897556633,0.5,2023-05-31
3,0.010126853434274255,0.010498123316622735,0.5,2023-06-07
3,0.001866110969564942,0.007748114768235485,0.5,2023-06-12
3,0.011542167438390427,0.0002747188318077409,0.5,2023-06-19
2,0.0016340236853537768,0.0008747538064813507,0.5,2023-06-29
3,0.018438916371821563,0.012972453164373638,0.5,2023-07-04
