order_id,decision_id,cycle_id,signal_date,execution_date,side,quantity,order_type,limit_price,status
ORD-98FA5BEB013C75C6BEF1,DEC-2E7D207689AA8FA5C47D,CYC-BBDADBA699F45AAD5E95,2021-01-12,2021-01-13,BUY,69700,LIMIT,1.434,FILLED
ORD-853EFDA96CDBE32DF79C,DEC-FC747ADD324AEAD58C57,CYC-BBDADBA699F45AAD5E95,2021-01-28,2021-01-29,SELL,69700,MARKET,1.452,FILLED
ORD-48A793023BD60C7B90CE,DEC-730F983824C4E73A34CE,CYC-CF0EAF75941A0E08B6AD,2021-03-26,2021-03-29,BUY,79100,LIMIT,1.281,FILLED
ORD-206EFA9603266EB38254,DEC-74F954A58D314CDEE4A3,CYC-CF0EAF75941A0E08B6AD,2021-04-12,2021-04-13,SELL,79100,MARKET,1.269,FILLED
ORD-D875CF23DD3903BD50C9,DEC-36DD6E234098FA72B6E7,CYC-DE996E9369A95592A75C,2021-04-16,2021-04-19,BUY,77000,LIMIT,1.3,FILLED
ORD-5C7B29088312226280EF,DEC-E0F1DDCAED5BB8B1735B,CYC-DE996E9369A95592A75C,2021-05-07,2021-05-10,SELL,77000,MARKET,1.295,FILLED
ORD-6ACA6198F2118304A346,DEC-BD98AF4EF3009B600FF0,CYC-4F144CAA4FA98E6A146F,2021-05-14,2021-05-17,BUY,75100,LIMIT,1.327,FILLED
ORD-01592F0EB6F92FC71411,DEC-1A1F78EA56046948C08D,CYC-4F144CAA4FA98E6A146F,2021-06-16,2021-06-17,SELL,75100,MARKET,1.439,FILLED
ORD-3822D6A5CD1D959A6653,DEC-5AEBA847C5ACB3E6D7E3,CYC-1B5254F1DB7E952944E4,2021-06-17,2021-06-18,BUY,71900,LIMIT,1.505,FILLED
ORD-80728C69FE23DF9B6D9C,DEC-964DB4FC3EC28EFE7BF8,CYC-1B5254F1DB7E952944E4,2021-07-06,2021-07-07,SELL,71900,MARKET,1.57,FILLED
ORD-CD62E45E787B59CD2978,DEC-A728BABECB5913C8ECA9,CYC-22609A59BB50DB293C7F,2021-07-07,2021-07-08,BUY,69600,LIMIT,1.605,FILLED
ORD-4A51E8C9519BE4C659F7,DEC-9F2FAAFB0C176040EF51,CYC-22609A59BB50DB293C7F,2021-07-14,2021-07-15,SELL,69600,MARKET,1.599,FILLED
ORD-779AB77C6D9FBF43A8E2,DEC-F3B9173E3B02AE3AB001,CYC-77996E3679858ADA7E1F,2021-07-29,2021-07-30,BUY,67900,LIMIT,1.631,FILLED
ORD-FEB2AACB77758DF5E1E0,DEC-789D9DA722DFC4874BF4,CYC-77996E3679858ADA7E1F,2021-08-09,2021-08-10,SELL,67900,MARKET,1.612,FILLED
ORD-8CB355F7C910AED5582A,DEC-98E198799C4395E354C0,CYC-E721CF1844E55D6AB3B2,2021-08-24,2021-08-25,BUY,67400,LIMIT,1.619,FILLED
ORD-7BCD959A68B0EA43CC10,DEC-70A44136E3E756051FD8,CYC-E721CF1844E55D6AB3B2,2021-08-27,2021-08-30,SELL,67400,MARKET,1.523,FILLED
ORD-991DFC52E5BFC35A92CD,DEC-ACCFF01FF46220822443,CYC-2E7E233BBD6EF7D3A1F9,2021-10-15,2021-10-18,BUY,73500,LIMIT,1.398,FILLED
ORD-7774D86FB63D96888526,DEC-97E9E7A2F58B33C8D5F0,CYC-2E7E233BBD6EF7D3A1F9,2021-10-27,2021-10-28,SELL,73500,MARKET,1.394,FILLED
