experiment_id,experiment_type,status,decision,candidate_created,strategy_frozen,pte_mutated
20260913_S005_EX01,research_mandate_and_benchmark_lock,COMPLETE,START_MECHANISM_DISCOVERY,False,False,False
20260913_S005_EX02,preregistered_upside_mechanism_density_census,COMPLETE,STOP_PREREGISTERED_UPSIDE_FAMILY_ON_DENSITY,False,False,False
20260913_S005_EX03,relative_flow_impulse_density_calibration,COMPLETE,PROCEED_TO_FIXED_RETURN_FALSIFICATION,False,False,False
20260913_S005_EX04,fixed_relative_flow_return_falsification,COMPLETE,STOP_RELATIVE_FLOW_FAMILY_ON_RETURN,False,False,False
20260913_S005_EX05,relative_dislocation_density_and_return_falsification,COMPLETE,STOP_RELATIVE_DISLOCATION_FAMILY_ON_RETURN,False,False,False
20260913_S005_EX06,opening_auction_relative_dislocation_falsification,COMPLETE,STOP_OPENING_AUCTION_DISLOCATION_ON_RETURN,False,False,False
20260913_S005_EX07,per_trade_economic_feasibility_budget,COMPLETE,PRIORITIZE_MULTI_SESSION_SWING_MECHANISMS,False,False,False
20260913_S005_EX08,three_session_relative_acceleration_density,COMPLETE,PROCEED_TO_FIXED_THREE_SESSION_RETURN_TEST,False,False,False
20260913_S005_EX09,fixed_three_session_relative_acceleration_return_test,COMPLETE,STOP_RELATIVE_ACCELERATION_ON_RETURN,False,False,False
20260913_S005_EX10,absolute_volatility_ignition_density,COMPLETE,PROCEED_TO_FIXED_THREE_SESSION_RETURN_TEST,False,False,False
20260913_S005_EX11,fixed_three_session_volatility_ignition_return_test,COMPLETE,STOP_VOLATILITY_IGNITION_ON_RETURN,False,False,False
20260913_S005_EX12,absolute_downside_capitulation_density_screen,COMPLETE,STOP_DOWNSIDE_CAPITULATION_ON_DENSITY,False,False,False
