sample_id,relevance,review_evidence_excerpt,review_reason
EX39-0001,NOT_CATALYST,RX590显卡值得买清单 办公剪辑+轻度游戏双修实用派优选,OUTSIDE_S005_NEWS_SCOPE_OR_NO_NEW_FACT
EX39-0002,NOT_CATALYST,最新美颜相机值得买 清晰前置+柔光补光+Vlog直出全满足,OUTSIDE_S005_NEWS_SCOPE_OR_NO_NEW_FACT
EX39-0003,NOT_CATALYST,2026年GTX1660显卡值得买 兼顾功耗控制与静音散热的办公主力卡,OUTSIDE_S005_NEWS_SCOPE_OR_NO_NEW_FACT
EX39-0004,NOT_CATALYST,控股股东筹划转让股权 华阳集团或将易主绵阳国资|速读公告,OUTSIDE_S005_NEWS_SCOPE_OR_NO_NEW_FACT
EX39-0005,NOT_CATALYST,湖南实施智能机器人十大重点工程,OUTSIDE_S005_NEWS_SCOPE_OR_NO_NEW_FACT
EX39-0006,NOT_CATALYST,众生药业：关于收购控股子公司部分股权暨关联交易的公告,OUTSIDE_S005_NEWS_SCOPE_OR_NO_NEW_FACT
EX39-0007,NOT_CATALYST,人均账面价值超550万元 寒武纪124名员工获激励大礼包,OUTSIDE_S005_NEWS_SCOPE_OR_NO_NEW_FACT
EX39-0008,NOT_CATALYST,东莞证券股权转让收益不再加持 锦龙股份上半年净利骤降近九成,OUTSIDE_S005_NEWS_SCOPE_OR_NO_NEW_FACT
EX39-0009,CATALYST_RELEVANT,宇树科技将于8月19日科创板上市,DIRECT_SCOPE_FACT
EX39-0010,NOT_CATALYST,追加投资离型膜产能 洁美科技抢抓MLCC风口,OUTSIDE_S005_NEWS_SCOPE_OR_NO_NEW_FACT
EX39-0011,NOT_CATALYST,从“投早投小”到“全周期助力” 兴业证券以耐心资本书写科技金融答卷,OUTSIDE_S005_NEWS_SCOPE_OR_NO_NEW_FACT
EX39-0012,NOT_CATALYST,百万欠款发酵成连环诉讼 云煤能源财务风险持续积累,OUTSIDE_S005_NEWS_SCOPE_OR_NO_NEW_FACT
EX39-0013,NOT_CATALYST,需求端强劲拉动 锂电隔膜行业龙头密集报喜,OUTSIDE_S005_NEWS_SCOPE_OR_NO_NEW_FACT
EX39-0014,NOT_CATALYST,2026世界机器人大会备受关注 一批绩优概念股获主力资金加仓,OUTSIDE_S005_NEWS_SCOPE_OR_NO_NEW_FACT
EX39-0015,NOT_CATALYST,宁德时代宜春锂矿项目复产迎重要进展,OUTSIDE_S005_NEWS_SCOPE_OR_NO_NEW_FACT
EX39-0016,NOT_CATALYST,苏州市贝特利高分子材料股份有限公司首次公开发行股票并在创业板上市发行公告,OUTSIDE_S005_NEWS_SCOPE_OR_NO_NEW_FACT
EX39-0017,CATALYST_RELEVANT,天博智能科技(山东)股份有限公司首次公开发行股票并在主板上市招股意向书提示性公告,DIRECT_SCOPE_FACT
EX39-0018,NOT_CATALYST,苏州市贝特利高分子材料股份有限公司首次公开发行股票并在创业板上市投资风险特别公告,OUTSIDE_S005_NEWS_SCOPE_OR_NO_NEW_FACT
EX39-0019,NOT_CATALYST,上海合晶硅材料股份有限公司董事及高级管理人员减持股份计划公告,OUTSIDE_S005_NEWS_SCOPE_OR_NO_NEW_FACT
EX39-0020,NOT_CATALYST,山东高速路桥集团股份有限公司第十届董事会第二十九次会议决议公告,OUTSIDE_S005_NEWS_SCOPE_OR_NO_NEW_FACT
EX39-0021,NOT_CATALYST,北京机器人4S店新“员工”上岗 营业额已超6000万元,OUTSIDE_S005_NEWS_SCOPE_OR_NO_NEW_FACT
EX39-0022,NOT_CATALYST,离任监事配偶成卖家 先锋新材“叫停”关联交易,OUTSIDE_S005_NEWS_SCOPE_OR_NO_NEW_FACT
EX39-0023,NOT_CATALYST,天力锂能更正三份年报 此前被中国证监会立案,OUTSIDE_S005_NEWS_SCOPE_OR_NO_NEW_FACT
EX39-0024,NOT_CATALYST,星巴克、瑞幸又添“新对手” 京东开无人咖啡店 机器人30秒内出杯,OUTSIDE_S005_NEWS_SCOPE_OR_NO_NEW_FACT
EX39-0025,NOT_CATALYST,法特迪闯关创业板背后：与A股上市公司长川科技、强一股份渊源深厚,OUTSIDE_S005_NEWS_SCOPE_OR_NO_NEW_FACT
EX39-0026,NOT_CATALYST,数百份年报问询函穿透式问诊 A股上市公司信披合规走深走实,OUTSIDE_S005_NEWS_SCOPE_OR_NO_NEW_FACT
EX39-0027,NOT_CATALYST,上纬新材上半年亏损1.67亿元 仍推出股权激励“押注”新业务,OUTSIDE_S005_NEWS_SCOPE_OR_NO_NEW_FACT
EX39-0028,NOT_CATALYST,先锋电子上半年营收增长超两成,OUTSIDE_S005_NEWS_SCOPE_OR_NO_NEW_FACT
EX39-0029,NOT_CATALYST,从探路者到深耕者 外资公募基金的“中国故事”,OUTSIDE_S005_NEWS_SCOPE_OR_NO_NEW_FACT
EX39-0030,NOT_CATALYST,美国为什么造不出宇树机器人？一家硅谷破产公司的反思,OUTSIDE_S005_NEWS_SCOPE_OR_NO_NEW_FACT
EX39-0031,NOT_CATALYST,PCB产业链半年报亮眼 高端产品供需偏紧或延续至2028年,OUTSIDE_S005_NEWS_SCOPE_OR_NO_NEW_FACT
EX39-0032,NOT_CATALYST,光明乳业股份有限公司关于选举公司职工代表董事的公告,OUTSIDE_S005_NEWS_SCOPE_OR_NO_NEW_FACT
EX39-0033,CATALYST_RELEVANT,烟台亚通精工机械股份有限公司关于使用暂时闲置募集资金进行现金管理到期赎回的公告,DIRECT_SCOPE_FACT
EX39-0034,NOT_CATALYST,纽威数控装备（苏州）股份有限公司关于2026年限制性股票激励计划内幕信息知情人买卖公司股票情况的自查报告,OUTSIDE_S005_NEWS_SCOPE_OR_NO_NEW_FACT
EX39-0035,CATALYST_RELEVANT,硬科技重构A股估值逻辑 长鑫科技总市值突破4万亿元,DIRECT_SCOPE_FACT
EX39-0036,NOT_CATALYST,8月以来两融余额回升700多亿元 机构：市场进入情绪修复通道,OUTSIDE_S005_NEWS_SCOPE_OR_NO_NEW_FACT
EX39-0037,CATALYST_RELEVANT,发力AI创新领域 复旦微电上半年净利同比增三倍多,DIRECT_SCOPE_FACT
EX39-0038,NOT_CATALYST,北京九州一轨环境科技股份有限公司董事减持股份结果公告,OUTSIDE_S005_NEWS_SCOPE_OR_NO_NEW_FACT
EX39-0039,NOT_CATALYST,数字人民币业务运营机构扩容至30家,OUTSIDE_S005_NEWS_SCOPE_OR_NO_NEW_FACT
EX39-0040,NOT_CATALYST,下游需求持续释放 瑞芯微上半年净利同比增逾六成,OUTSIDE_S005_NEWS_SCOPE_OR_NO_NEW_FACT
EX39-0041,NOT_CATALYST,山东信通电子股份有限公司关于全资子公司完成工商注册登记的公告,OUTSIDE_S005_NEWS_SCOPE_OR_NO_NEW_FACT
EX39-0042,NOT_CATALYST,存储与逻辑芯片迭代升级 CMP市场迎来新风口,OUTSIDE_S005_NEWS_SCOPE_OR_NO_NEW_FACT
EX39-0043,CATALYST_RELEVANT,佳禾食品工业股份有限公司关于使用部分暂时闲置募集资金进行现金管理到期赎回的公告,DIRECT_SCOPE_FACT
EX39-0044,NOT_CATALYST,宁波东力股份有限公司2026年半年度报告摘要,OUTSIDE_S005_NEWS_SCOPE_OR_NO_NEW_FACT
EX39-0045,NOT_CATALYST,江苏利柏特股份有限公司2026年第一次临时股东会决议公告,OUTSIDE_S005_NEWS_SCOPE_OR_NO_NEW_FACT
EX39-0046,NOT_CATALYST,宇树科技股份有限公司首次公开发行股票科创板上市公告书提示性公告,OUTSIDE_S005_NEWS_SCOPE_OR_NO_NEW_FACT
EX39-0047,NOT_CATALYST,西藏天路股份有限公司2026年半年度报告摘要,OUTSIDE_S005_NEWS_SCOPE_OR_NO_NEW_FACT
EX39-0048,NOT_CATALYST,金禄电子科技股份有限公司关于股东股份变动触及1%整数倍的公告,OUTSIDE_S005_NEWS_SCOPE_OR_NO_NEW_FACT
EX39-0049,NOT_CATALYST,北京华峰测控技术股份有限公司关于可转债投资者适当性要求的风险提示性公告,OUTSIDE_S005_NEWS_SCOPE_OR_NO_NEW_FACT
EX39-0050,NOT_CATALYST,重庆银行股份有限公司关于召开2026年半年度业绩说明会的公告,OUTSIDE_S005_NEWS_SCOPE_OR_NO_NEW_FACT
EX39-0051,NOT_CATALYST,直击业绩发布会｜如何实现“向技术要效率、要增长”？平安银行答每经：一边做基础，一边强调应用,OUTSIDE_S005_NEWS_SCOPE_OR_NO_NEW_FACT
EX39-0052,NOT_CATALYST,参赛机器人数量是首届的两倍 2056台机器人将在北京同场竞技,OUTSIDE_S005_NEWS_SCOPE_OR_NO_NEW_FACT
EX39-0053,NOT_CATALYST,北京亦庄打造“展研产用”全链路生态网 加速机器人从实验室迈向市场,OUTSIDE_S005_NEWS_SCOPE_OR_NO_NEW_FACT
EX39-0054,NOT_CATALYST,哪款游戏主板值得买 追求极致供电与内存潜力的进阶之选,OUTSIDE_S005_NEWS_SCOPE_OR_NO_NEW_FACT
EX39-0055,NOT_CATALYST,哪款好耳机值得买 面向编曲人低延迟高解析音频体验,OUTSIDE_S005_NEWS_SCOPE_OR_NO_NEW_FACT
EX39-0056,NOT_CATALYST,运营商财经网康钊：原中国一重集团副总陆文俊一审被判15年,OUTSIDE_S005_NEWS_SCOPE_OR_NO_NEW_FACT
EX39-0057,NOT_CATALYST,康恩贝溢价百万元转让配套包装子公司东阳康恩贝，森林包装以5098万元竞得,OUTSIDE_S005_NEWS_SCOPE_OR_NO_NEW_FACT
EX39-0058,NOT_CATALYST,哪款镜头值得买 面向摄影教师的轻便高质之选,OUTSIDE_S005_NEWS_SCOPE_OR_NO_NEW_FACT
EX39-0059,NOT_CATALYST,2026内衣洗洗衣机值得买 温和洗净+长效抑菌+静音运行全满足,OUTSIDE_S005_NEWS_SCOPE_OR_NO_NEW_FACT
