event_id,window,signal_date,outcome_label,regime,block_label,descriptor,family,raw_value,quantile_bin,history_count,feature_date,max_input_dt
2021H1:early_ex04_exit:20210616,2021H1,2021-06-16,false_exit,uptrend,joint_margin_block,close_to_ma20,trend_geometry,0.007315109726645952,Q3,122,2021-06-16,2021-06-16
2021H1:early_ex04_exit:20210616,2021H1,2021-06-16,false_exit,uptrend,joint_margin_block,ma20_slope5,trend_geometry,0.025152493720846714,,117,2021-06-16,2021-06-16
2021H1:early_ex04_exit:20210616,2021H1,2021-06-16,false_exit,uptrend,joint_margin_block,ma10_ma20_spread,trend_geometry,0.021455321829827456,Q5,122,2021-06-16,2021-06-16
2021H1:early_ex04_exit:20210616,2021H1,2021-06-16,false_exit,uptrend,joint_margin_block,drawdown_from_high20,trend_geometry,-0.042581503659347875,Q3,122,2021-06-16,2021-06-16
2021H1:early_ex04_exit:20210616,2021H1,2021-06-16,false_exit,uptrend,joint_margin_block,close_location20,trend_geometry,0.6300578034682086,Q3,122,2021-06-16,2021-06-16
2021H1:early_ex04_exit:20210616,2021H1,2021-06-16,false_exit,uptrend,joint_margin_block,return5,trend_geometry,-0.0069013112491372874,Q3,136,2021-06-16,2021-06-16
2021H1:early_ex04_exit:20210616,2021H1,2021-06-16,false_exit,uptrend,joint_margin_block,return10,trend_geometry,-0.033579583613163266,Q1,131,2021-06-16,2021-06-16
2021H1:early_ex04_exit:20210616,2021H1,2021-06-16,false_exit,uptrend,joint_margin_block,prior_low10_buffer,trend_geometry,0.0034867503486750717,Q1,131,2021-06-16,2021-06-16
2021H1:early_ex04_exit:20210616,2021H1,2021-06-16,false_exit,uptrend,joint_margin_block,atr5_to_atr20,pullback_energy,0.9939759036144588,Q3,122,2021-06-16,2021-06-16
2021H1:early_ex04_exit:20210616,2021H1,2021-06-16,false_exit,uptrend,joint_margin_block,tr_to_atr20,pullback_energy,1.4156626506024133,Q5,122,2021-06-16,2021-06-16
2021H1:early_ex04_exit:20210616,2021H1,2021-06-16,false_exit,uptrend,joint_margin_block,realized_vol5_to20,pullback_energy,1.0244364266278236,Q3,121,2021-06-16,2021-06-16
2021H1:early_ex04_exit:20210616,2021H1,2021-06-16,false_exit,uptrend,joint_margin_block,downside_semivol5_to20,pullback_energy,1.381111933795564,Q5,121,2021-06-16,2021-06-16
2021H1:early_ex04_exit:20210616,2021H1,2021-06-16,false_exit,uptrend,joint_margin_block,negative_day_share5,pullback_energy,0.4,Q2,136,2021-06-16,2021-06-16
2021H1:early_ex04_exit:20210616,2021H1,2021-06-16,false_exit,uptrend,joint_margin_block,max_drawdown5_to_atr20,pullback_energy,1.200728590035818,Q4,122,2021-06-16,2021-06-16
2021H1:early_ex04_exit:20210616,2021H1,2021-06-16,false_exit,uptrend,joint_margin_block,daily_close_location,pullback_energy,0.021276595744683165,Q1,141,2021-06-16,2021-06-16
2021H1:early_ex04_exit:20210616,2021H1,2021-06-16,false_exit,uptrend,joint_margin_block,gap_abs_to_atr20,pullback_energy,0.12048192771084207,Q3,122,2021-06-16,2021-06-16
2021H1:early_ex04_exit:20210616,2021H1,2021-06-16,false_exit,uptrend,joint_margin_block,volume5_to20,price_volume_structure,0.9988269297456458,Q3,122,2021-06-16,2021-06-16
2021H1:early_ex04_exit:20210616,2021H1,2021-06-16,false_exit,uptrend,joint_margin_block,volume_t_to20,price_volume_structure,0.9141593506899107,Q2,122,2021-06-16,2021-06-16
2021H1:early_ex04_exit:20210616,2021H1,2021-06-16,false_exit,uptrend,joint_margin_block,down_up_volume_ratio10,price_volume_structure,0.9496796290251949,Q3,132,2021-06-16,2021-06-16
2021H1:early_ex04_exit:20210616,2021H1,2021-06-16,false_exit,uptrend,joint_margin_block,signed_volume_imbalance5,price_volume_structure,0.2584791337431496,Q4,137,2021-06-16,2021-06-16
2021H1:early_ex04_exit:20210616,2021H1,2021-06-16,false_exit,uptrend,joint_margin_block,signed_volume_imbalance10,price_volume_structure,0.025809558773491625,Q3,132,2021-06-16,2021-06-16
