entry_signal_date,entry_date,year,three_session_return,volatility_20,volatility_bucket,entry_price,exit_date_3,exit_price_3,net_return_3,exit_date_4,exit_price_4,net_return_4,exit_date_5,exit_price_5,net_return_5,exit_date_6,exit_price_6,net_return_6,exit_date_7,exit_price_7,net_return_7,exit_date_8,exit_price_8,net_return_8,exit_date_10,exit_price_10,net_return_10,delta_5_vs_4,delta_5_vs_6,delta_5_vs_neighbor_mean,band_return_4_6
2021-03-10,2021-03-11,2021,-0.05584470389646934,0.23320927891485804,HIGH,6.712,2021-03-16,6.85,0.019540140537597894,2021-03-17,6.841,0.018200598747110552,2021-03-18,6.895,0.026237849490034604,2021-03-19,6.879,0.023856441862501576,2021-03-22,6.878,0.02370760388578086,2021-03-23,6.979,0.038740239534583276,2021-03-25,6.793,0.011056375864511248,0.008037250742924051,0.0023814076275330276,0.0052093291852285395,0.022764963366548912
2021-05-21,2021-05-24,2021,-0.009145509145509045,0.09614837508292022,LOW,7.257,2021-05-27,7.363,0.013592487206858461,2021-05-28,7.432,0.02309104507963755,2021-05-31,7.43,0.02281572456158587,2021-06-01,7.473,0.02873511569969467,2021-06-02,7.487,0.030662359326055766,2021-06-03,7.438,0.02391700663379215,2021-06-07,7.479,0.029561077253849488,-0.00027532051805168045,-0.005919391138108798,-0.0030973558280802393,0.024880628446972697
2022-08-04,2022-08-05,2022,-0.029768467475193017,0.17913045107775713,MEDIUM,7.047,2022-08-10,7.239,0.026218904170733026,2022-08-11,7.265,0.029904729769356875,2022-08-12,7.37,0.04478979468687694,2022-08-15,7.337,0.04011163142708485,2022-08-16,7.384,0.046774470009212976,2022-08-17,7.395,0.048333857762476784,2022-08-19,7.4,0.04904267037759702,0.014885064917520063,0.00467816325979209,0.009781614088656077,0.03826871862777289
2022-10-25,2022-10-26,2022,-0.016431924882629234,0.20463950178555954,MEDIUM,5.88,2022-10-31,5.769,-0.019858183153321107,2022-11-01,5.824,-0.010513790723685634,2022-11-02,5.95,0.01089336284238862,2022-11-03,5.967,0.013781629593366596,2022-11-04,6.0,0.01938826505114788,2022-11-07,6.154,0.045552563854127426,2022-11-09,6.155,0.04572246189830276,0.021407153566074255,-0.0028882667509779747,0.00925944340754814,0.00472040057068986
2022-12-02,2022-12-05,2022,0.0006481931615620606,0.1072740163656389,LOW,6.216,2022-12-08,6.207,-0.002445929544879988,2022-12-09,6.19,-0.005178073768778324,2022-12-12,6.195,-0.004374501938219977,2022-12-13,6.181,-0.00662450306378326,2022-12-14,6.149,-0.011767362779356638,2022-12-15,6.118,-0.016749508128818258,2022-12-19,6.094,-0.020606652915498236,0.0008035718305583472,0.0022500011255632835,0.0015267864780608154,-0.00539235959026052
2023-02-17,2023-02-20,2023,-0.0235532678209327,0.11280513926326279,LOW,6.282,2023-02-23,6.39,0.01617529344210422,2023-02-24,6.368,0.012676724356701197,2023-02-27,6.341,0.008383025933706323,2023-02-28,6.333,0.007110818993559809,2023-03-01,6.37,0.012994776091737936,2023-03-02,6.42,0.020946069467654205,2023-03-06,6.406,0.018719707322397472,-0.004293698422994874,0.0012722069401465141,-0.0015107457414241798,0.009390189761322443
2023-03-06,2023-03-07,2023,-0.0012478552487911188,0.1126205793797947,LOW,6.4,2023-03-10,6.27,-0.021291697901049456,2023-03-13,6.22,-0.029096389305347303,2023-03-14,6.242,-0.02566232508745614,2023-03-15,6.239,-0.026130606571714066,2023-03-16,6.218,-0.029408576961519106,2023-03-17,6.202,-0.03190607821089453,2023-03-21,6.199,-0.032374359695152344,0.003434064217891164,0.00046828148425792637,0.0019511728510745452,-0.026963106988172503
2023-03-20,2023-03-21,2023,-0.009612303748798401,0.10560918471846925,LOW,6.199,2023-03-24,6.32,0.01850026753037448,2023-03-27,6.323,0.018983732847239976,2023-03-28,6.321,0.01866142263599624,2023-03-29,6.315,0.017694492002265028,2023-03-30,6.279,0.01189290819987665,2023-03-31,6.312,0.01721102668539931,2023-04-04,6.429,0.036066174043160926,-0.00032231021124373704,0.0009669306337312111,0.00032231021124373704,0.018446549161833747
2023-03-29,2023-03-30,2023,-0.007115749525616666,0.10962308828447441,LOW,6.279,2023-04-04,6.429,0.02286577685834601,2023-04-06,6.414,0.02047924914752386,2023-04-07,6.426,0.02238847131618149,2023-04-10,6.482,0.03129817476991725,2023-04-11,6.43,0.023024878705733887,2023-04-12,6.445,0.02541140641655626,2023-04-14,6.431,0.023183980553122208,0.0019092221686576316,-0.008909703453735762,-0.0035002406425390653,0.024721965077874202
2023-05-11,2023-05-12,2023,-0.013895543842836533,0.13222920482087666,LOW,6.168,2023-05-17,6.126,-0.007802032835722117,2023-05-18,6.154,-0.0032670111118239253,2023-05-19,6.145,-0.004724696665934225,2023-05-22,6.157,-0.002781115927120714,2023-05-23,6.149,-0.004076836419662944,2023-05-24,6.08,-0.015252425667840352,2023-05-26,6.022,-0.02464639923877221,-0.0014576855541102995,-0.0019435807388135107,-0.0017006331464619051,-0.0035909412349596215
