fill_id,order_id,decision_id,cycle_id,signal_date,fill_time,side,quantity,price,fees,trigger
FIL-3AFA84BBDE7955ADABDE,ORD-7FA409CC9166D2D8B0F5,DEC-EB16019B6330A8AF3963,CYC-BC25D85C0E0BF909F39C,2021-03-08,2021-03-09,BUY,63900,1.304,83.32560000000001,OPEN
FIL-EB58AB6F4B587B45F10B,ORD-58AB75F89A744D7A3299,DEC-C15B0E0A313C22732484,CYC-BC25D85C0E0BF909F39C,2021-03-11,2021-03-12,SELL,63900,1.297,82.8783,OPEN_MARKET
FIL-4A15F99178D85441113E,ORD-5E114E5B2A4E574C2E6E,DEC-06A993B8263705BB3507,CYC-6519598E05B0CF6AD11E,2021-03-23,2021-03-24,BUY,65500,1.259,82.4645,OPEN
FIL-3F0EE62F10973022CBA8,ORD-274A638DD3725A514310,DEC-8718678636B84DFAF8FA,CYC-6519598E05B0CF6AD11E,2021-03-25,2021-03-26,SELL,65500,1.251,81.9405,OPEN_MARKET
FIL-B750B3A861AEEE99130E,ORD-1C6D46A2ECC29E5A21DE,DEC-93439726868049BC7E84,CYC-60D4E030B79972A8E7C3,2021-04-02,2021-04-06,BUY,62100,1.327,82.4067,OPEN
FIL-F202A58075E9E6E7A39C,ORD-1FA9224DB27B88FE9C68,DEC-B5787668A6C1FB0F8904,CYC-60D4E030B79972A8E7C3,2021-04-06,2021-04-07,SELL,62100,1.32,81.97200000000001,OPEN_MARKET
FIL-3627C4B2D30E0BCB200A,ORD-5B20DED17B47D3F6A0BB,DEC-95D1FCEF5318089815D2,CYC-03B681EF1D77A5269296,2021-04-12,2021-04-13,BUY,64400,1.267,81.59479999999999,OPEN
FIL-AA22F36C8BB29EBA9D49,ORD-88DE434DAA40B7A3F901,DEC-BEBBAFD00F9DF15AA48C,CYC-03B681EF1D77A5269296,2021-04-14,2021-04-15,SELL,64400,1.277,82.23879999999998,OPEN_MARKET
FIL-EE7B01A02D837B3066BD,ORD-B8CB6B0F2170DDACCBAD,DEC-08F32FEF6CB25EE1910C,CYC-98BCC19F4E942546A24B,2021-04-20,2021-04-21,BUY,62400,1.311,81.8064,OPEN
FIL-624FEE2D361A07F20D78,ORD-4C4A40884E47ED23E48B,DEC-F7A7960E167EB5407D5F,CYC-98BCC19F4E942546A24B,2021-04-21,2021-04-22,SELL,62400,1.312,81.86880000000001,OPEN_MARKET
FIL-559FAD66493F8AE826C2,ORD-DFBB10A4099CE30A986E,DEC-6F231A2EC888C549B5AF,CYC-9B71D0C6107B2A3200A3,2021-04-26,2021-04-27,BUY,61200,1.34,82.008,OPEN
FIL-8E5511E351CCE9F71B18,ORD-0F32AEFE90CE2825963C,DEC-0887376FCA751D7C0517,CYC-9B71D0C6107B2A3200A3,2021-04-30,2021-05-06,SELL,61200,1.346,82.3752,OPEN_MARKET
FIL-1182B8DA5733BC9F212A,ORD-1DB80128843B5E334777,DEC-1DB30301C51D4518FD11,CYC-C54F14FCC3A7DA29D988,2021-05-07,2021-05-10,BUY,63500,1.295,82.2325,OPEN
FIL-40FB83EDC7D729885187,ORD-79659196F1750E48E187,DEC-816B358170AE2A40C7D6,CYC-C54F14FCC3A7DA29D988,2021-05-11,2021-05-12,SELL,63500,1.28,81.28,OPEN_MARKET
FIL-0CC7B78174BF2957311A,ORD-5C507121EFEEFB1DC6C7,DEC-6F2DFA477BF43C49BA2D,CYC-3DA4227C2439BC1BC782,2021-05-17,2021-05-18,BUY,60000,1.356,81.36,OPEN
