date,signal_date,target_position,cash_before,quantity_before,cash,quantity,close,equity
2021-04-15,2021-04-14,0.5,50606.473487999996,7100,50268.07669599999,7100,6.963,99705.37669599999
2021-04-16,,0.5,50268.07669599999,7100,50268.07669599999,7100,7.05,100323.07669599999
2021-04-19,2021-04-16,0.5,50268.07669599999,7100,50852.41067199999,7100,7.122,101418.61067199998
2021-04-20,2021-04-19,0.5,50852.41067199999,7100,51209.45263199999,7100,7.136,101875.05263199999
2021-04-21,,0.5,51209.45263199999,7100,51209.45263199999,7100,7.117,101740.15263199998
2021-04-22,,0.5,51209.45263199999,7100,51209.45263199999,7100,7.143,101924.75263199999
2021-04-23,,0.5,51209.45263199999,7100,51209.45263199999,7100,7.178,102173.25263199999
2021-04-26,,0.5,51209.45263199999,7100,51209.45263199999,7100,7.148,101960.25263199999
2021-04-27,,0.5,51209.45263199999,7100,51209.45263199999,7100,7.146,101946.05263199999
2021-04-28,,0.5,51209.45263199999,7100,51209.45263199999,7100,7.198,102315.25263199999
2021-04-29,,0.5,51209.45263199999,7100,51209.45263199999,7100,7.2,102329.452632
2021-04-30,,0.5,51209.45263199999,7100,51209.45263199999,7100,7.211,102407.55263199999
2021-05-06,,0.5,51209.45263199999,7100,51209.45263199999,7100,7.188,102244.25263199999
2021-05-07,,0.5,51209.45263199999,7100,51209.45263199999,7100,7.157,102024.15263199998
2021-05-10,,0.5,51209.45263199999,7100,51209.45263199999,7100,7.179,102180.352632
2021-05-11,,0.5,51209.45263199999,7100,51209.45263199999,7100,7.159,102038.352632
2021-05-12,,0.5,51209.45263199999,7100,51209.45263199999,7100,7.238,102599.25263199999
2021-05-13,,0.5,51209.45263199999,7100,51209.45263199999,7100,7.158,102031.25263199999
2021-05-14,,0.5,51209.45263199999,7100,51209.45263199999,7100,7.269,102819.352632
2021-05-17,2021-05-14,0.5,51209.45263199999,7100,51680.18275200001,7100,7.306,103552.782752
2021-05-18,,0.5,51680.18275200001,7100,51680.18275200001,7100,7.326,103694.782752
2021-05-19,,0.5,51680.18275200001,7100,51680.18275200001,7100,7.314,103609.58275200002
2021-05-20,,0.5,51680.18275200001,7100,51680.18275200001,7100,7.287,103417.882752
2021-05-21,,0.5,51680.18275200001,7100,51680.18275200001,7100,7.259,103219.08275200002
2021-05-24,,0.5,51680.18275200001,7100,51680.18275200001,7100,7.28,103368.18275200001
2021-05-25,,0.5,51680.18275200001,7100,51680.18275200001,7100,7.358,103921.98275200001
2021-05-26,2021-05-25,0.5,51680.18275200001,7100,51576.82383200001,7100,7.369,103896.72383200002
2021-05-27,,0.5,51576.82383200001,7100,51576.82383200001,7100,7.43,104329.82383200001
2021-05-28,,0.5,51576.82383200001,7100,51576.82383200001,7100,7.427,104308.523832
2021-05-31,,0.5,51576.82383200001,7100,51576.82383200001,7100,7.479,104677.72383200002
2021-06-01,,0.5,51576.82383200001,7100,51576.82383200001,7100,7.491,104762.923832
2021-06-02,,0.5,51576.82383200001,7100,51576.82383200001,7100,7.445,104436.32383200001
2021-06-03,,0.5,51576.82383200001,7100,51576.82383200001,7100,7.43,104329.82383200001
2021-06-04,,0.5,51576.82383200001,7100,51576.82383200001,7100,7.465,104578.32383200001
2021-06-07,,0.5,51576.82383200001,7100,51576.82383200001,7100,7.485,104720.32383200001
2021-06-08,,0.5,51576.82383200001,7100,51576.82383200001,7100,7.458,104528.62383200001
2021-06-09,,0.5,51576.82383200001,7100,51576.82383200001,7100,7.451,104478.923832
2021-06-10,,0.5,51576.82383200001,7100,51576.82383200001,7100,7.546,105153.423832
2021-06-11,2021-06-10,0.5,51576.82383200001,7100,51414.931608000006,7100,7.509,104728.83160800001
2021-06-15,,0.5,51414.931608000006,7100,51414.931608000006,7100,7.418,104082.731608
2021-06-16,,0.5,51414.931608000006,7100,51414.931608000006,7100,7.328,103443.731608
2021-06-17,,0.5,51414.931608000006,7100,51414.931608000006,7100,7.373,103763.231608
2021-06-18,,0.5,51414.931608000006,7100,51414.931608000006,7100,7.447,104288.631608
2021-06-21,2021-06-18,0.5,51414.931608000006,7100,51650.999376,7100,7.476,104730.599376
2021-06-22,2021-06-21,0.5,51650.999376,7100,51774.74631999999,7100,7.52,105166.74631999999
2021-06-23,,0.5,51774.74631999999,7100,51774.74631999999,7100,7.581,105599.84632
2021-06-24,,0.5,51774.74631999999,7100,51774.74631999999,7100,7.554,105408.14632
2021-06-25,,0.5,51774.74631999999,7100,51774.74631999999,7100,7.614,105834.14632
2021-06-28,2021-06-25,0.5,51774.74631999999,7100,51789.29979199999,7100,7.619,105884.199792
2021-06-29,,0.5,51789.29979199999,7100,51789.29979199999,7100,7.561,105472.39979199998
2021-06-30,,0.5,51789.29979199999,7100,51789.29979199999,7100,7.598,105735.099792
2021-07-01,,0.5,51789.29979199999,7100,51789.29979199999,7100,7.513,105131.599792
2021-07-02,,0.5,51789.29979199999,7100,51789.29979199999,7100,7.449,104677.199792
2021-07-05,,0.5,51789.29979199999,7100,51789.29979199999,7100,7.494,104996.699792
2021-07-06,,0.5,51789.29979199999,7100,51789.29979199999,7100,7.493,104989.599792
2021-07-07,,0.5,51789.29979199999,7100,51789.29979199999,7100,7.561,105472.39979199998
2021-07-08,2021-07-07,0.5,51789.29979199999,7100,51715.75452799999,7100,7.55,105320.75452799999
2021-07-09,,0.5,51715.75452799999,7100,51715.75452799999,7100,7.615,105782.25452799999
2021-07-12,2021-07-09,0.5,51715.75452799999,7100,52272.88016399999,7100,7.723,107106.18016399999
2021-07-13,,0.5,52272.88016399999,7100,52272.88016399999,7100,7.796,107624.48016399998
2021-07-14,2021-07-13,0.5,52272.88016399999,7100,52106.26911999999,7100,7.745,107095.76911999998
2021-07-15,,0.5,52106.26911999999,7100,52106.26911999999,7100,7.763,107223.56912
2021-07-16,,0.5,52106.26911999999,7100,52106.26911999999,7100,7.774,107301.66911999999
2021-07-19,,0.5,52106.26911999999,7100,52106.26911999999,7100,7.73,106989.26911999998
2021-07-20,,0.5,52106.26911999999,7100,52106.26911999999,7100,7.739,107053.16911999999
2021-07-21,,0.5,52106.26911999999,7100,52106.26911999999,7100,7.837,107748.96912
2021-07-22,,0.5,52106.26911999999,7100,52106.26911999999,7100,7.871,107990.36911999999
2021-07-23,2021-07-22,0.5,52106.26911999999,7100,51816.615711999984,7100,7.856,107594.21571199998
2021-07-26,,0.5,51816.615711999984,7100,51816.615711999984,7100,7.711,106564.71571199998
2021-07-27,,0.5,51816.615711999984,7100,51816.615711999984,7100,7.564,105521.015712
2021-07-28,,0.5,51816.615711999984,7100,51816.615711999984,7100,7.45,104711.61571199998
2021-07-29,2021-07-28,0.5,51816.615711999984,7100,51817.89247999999,7100,7.577,105614.59247999999
2021-07-30,,0.5,51817.89247999999,7100,51817.89247999999,7100,7.601,105784.99247999999
2021-08-02,,0.5,51817.89247999999,7100,51817.89247999999,7100,7.704,106516.29247999999
2021-08-03,,0.5,51817.89247999999,7100,51817.89247999999,7100,7.65,106132.89247999998
2021-08-04,,0.5,51817.89247999999,7100,51817.89247999999,7100,7.763,106935.19248
2021-08-05,2021-08-04,0.5,51817.89247999999,7100,51990.39905599999,7100,7.754,107043.79905599999
2021-08-06,,0.5,51990.39905599999,7100,51990.39905599999,7100,7.79,107299.399056
2021-08-09,,0.5,51990.39905599999,7100,51990.39905599999,7100,7.821,107519.49905599999
2021-08-10,2021-08-09,0.5,51990.39905599999,7100,52169.40187999998,7100,7.874,108074.80187999998
2021-08-11,,0.5,52169.40187999998,7100,52169.40187999998,7100,7.934,108500.80187999998
2021-08-12,2021-08-11,0.5,52169.40187999998,7100,52417.01391999998,7100,7.965,108968.51391999998
2021-08-13,,0.5,52417.01391999998,7100,52417.01391999998,7100,7.967,108982.71391999998
2021-08-16,,0.5,52417.01391999998,7100,52417.01391999998,7100,7.927,108698.71391999998
2021-08-17,,0.5,52417.01391999998,7100,52417.01391999998,7100,7.752,107456.21391999998
2021-08-18,,0.5,52417.01391999998,7100,52417.01391999998,7100,7.785,107690.51391999998
2021-08-19,2021-08-18,0.5,52417.01391999998,7100,52424.61413199998,7100,7.802,107818.81413199997
2021-08-20,,0.5,52424.61413199998,7100,52424.61413199998,7100,7.768,107577.41413199998
2021-08-23,,0.5,52424.61413199998,7100,52424.61413199998,7100,7.88,108372.61413199999
2021-08-24,2021-08-23,0.5,52424.61413199998,7100,52702.44984399999,7100,7.963,109239.74984399999
2021-08-25,,0.5,52702.44984399999,7100,52702.44984399999,7100,8.027,109694.14984399999
2021-08-26,2021-08-25,0.5,52702.44984399999,7100,52767.92304399998,7100,7.993,109518.22304399998
2021-08-27,,0.5,52767.92304399998,7100,52767.92304399998,7100,8.054,109951.32304399999
2021-08-30,2021-08-27,0.5,52767.92304399998,7100,53073.79562399998,7100,8.11,110654.79562399996
2021-08-31,,0.5,53073.79562399998,7100,53073.79562399998,7100,8.142,110881.99562399997
2021-09-01,2021-08-31,0.5,53073.79562399998,7100,52580.139343999974,7100,8.073,109898.43934399998
2021-09-02,,0.5,52580.139343999974,7100,52580.139343999974,7100,8.219,110935.03934399996
2021-09-03,2021-09-02,0.5,52580.139343999974,7100,52189.710703999976,7100,8.177,110246.41070399998
2021-09-06,,0.5,52189.710703999976,7100,52189.710703999976,7100,8.248,110750.51070399997
2021-09-07,2021-09-06,0.5,52189.710703999976,7100,53096.94598399998,7100,8.429,112942.84598399999
2021-09-08,2021-09-07,0.5,53096.94598399998,7100,53264.182055999976,7100,8.483,113493.48205599998
2021-09-09,2021-09-08,0.5,53264.182055999976,7100,53524.34298399998,7100,8.557,114279.04298399999
2021-09-10,2021-09-09,0.5,53524.34298399998,7100,53573.616119999984,7100,8.554,114307.01611999999
2021-09-13,,0.5,53573.616119999984,7100,53573.616119999984,7100,8.583,114512.91611999998
2021-09-14,,0.5,53573.616119999984,7100,53573.616119999984,7100,8.488,113838.41611999998
2021-09-15,,0.5,53573.616119999984,7100,53573.616119999984,7100,8.524,114094.01611999999
2021-09-16,,0.5,53573.616119999984,7100,53573.616119999984,7100,8.369,112993.51611999999
