event_id,sample_id,entity_scope,primary_entity,event_type,direction,event_summary,evidence_excerpt,duplicate_event_key
EX36-E001,EX36-005,SEMICONDUCTOR_CHAIN,盈新发展,INDUSTRIAL_INVESTMENT,AMBIGUOUS,拟募资17.79亿元进入先进封测和存储芯片,募集资金总额不超过17.79亿元,盈新发展|INDUSTRIAL_INVESTMENT|20260817
EX36-E002,EX36-006,SEMICONDUCTOR_INDUSTRY,国际模拟芯片厂商,PRICE_CHANGE,AMBIGUOUS,多家国际芯片厂商宣布4月起上调部分产品价格,相继向客户发出调价通知,国际模拟芯片|PRICE_CHANGE|20260401
EX36-E003,EX36-017,SEMICONDUCTOR_INDUSTRY,国家统计局,INDUSTRY_DATA,POSITIVE,2025年1至2月集成电路圆片产量同比增长19.6%,1-2月份集成电路圆片,中国集成电路圆片|INDUSTRY_DATA|202501_02
EX36-E004,EX36-019,SEMICONDUCTOR_CHAIN,振华风光,CAPEX,NEGATIVE,晶圆制造和先进封测募投项目延期,延迟至2025年12月31日,振华风光|CAPEX_DELAY|20240314
EX36-E005,EX36-023,SEMICONDUCTOR_CHAIN,美埃科技,ORDER_DEMAND,POSITIVE,半导体洁净业务新签订单持续增长且在手订单饱满,新签订单持续增长在手订单饱满,美埃科技|ORDER_DEMAND|20250915
EX36-E006,EX36-024,SEMICONDUCTOR_INDUSTRY,SK海力士,CAPEX,AMBIGUOUS,宣布在韩国投资384亿美元建设晶圆厂,将在韩国投资384亿美元建设晶圆厂,SK海力士|CAPEX|202608
EX36-E007,EX36-026,SEMICONDUCTOR_CHAIN,普冉股份,EARNINGS_CHANGE,POSITIVE,2026年上半年归母净利润约8.25亿元同比增长约1925%,归母净利润约8.25亿元同比增长约1925%,普冉股份|EARNINGS_CHANGE|2026H1
EX36-E008,EX36-027,DIRECT_COMPONENT,中芯国际,EARNINGS_CHANGE,POSITIVE,2026年二季度收入和利润同比大幅增长且毛利率超指引,2Q26收入30.1亿美元YoY+36.1%,中芯国际|EARNINGS_CHANGE|2026Q2
EX36-E009,EX36-027,DIRECT_COMPONENT,中芯国际,ORDER_DEMAND,POSITIVE,在手订单覆盖至2026年四季度,当前订单已覆盖至4Q26,中芯国际|ORDER_DEMAND|2026Q4
EX36-E010,EX36-030,DIRECT_COMPONENT,盛科通信,ORDER_DEMAND,POSITIVE,签订超过1亿元的以太网交换芯片长期订单,合同金额超1亿元,盛科通信|ORDER_DEMAND|20260816
EX36-E011,EX36-031,AI_CORE_DEMAND,行云科技,ORDER_DEMAND,POSITIVE,披露150.82亿元五年期算力框架订单,在手算力长期框架订单150.82亿元,行云科技|ORDER_DEMAND|202607
EX36-E012,EX36-038,SEMICONDUCTOR_CHAIN,上海传芯,INDUSTRIAL_INVESTMENT,AMBIGUOUS,一彬科技投资1.6亿元取得半导体掩模基板企业股权,以自有资金1.6亿元,上海传芯|INDUSTRIAL_INVESTMENT|20260316
EX36-E013,EX36-044,DIRECT_COMPONENT,寒武纪,KEY_PERSONNEL_CHANGE,NEGATIVE,核心技术人员梁军因分歧离职,核心技术人员梁军因与公司存在分歧,寒武纪|KEY_PERSONNEL_CHANGE|20220210
EX36-E014,EX36-044,DIRECT_COMPONENT,寒武纪,EARNINGS_CHANGE,NEGATIVE,2021年归母净亏损扩大94.98%,归母净利润亏损8.47亿元,寒武纪|EARNINGS_CHANGE|2021FY
EX36-E015,EX36-045,SEMICONDUCTOR_CHAIN,光力科技,MASS_PRODUCTION,POSITIVE,国产半导体设备自2025年7月以来持续满产,国产半导体设备已进入持续满产状态,光力科技|MASS_PRODUCTION|20260313
EX36-E016,EX36-045,SEMICONDUCTOR_CHAIN,光力科技,CAPEX,POSITIVE,航空港厂区二期预计2027年一季度投产,二期项目预计于2027年一季度全部建成投产,光力科技|CAPEX|2027Q1
