sample_id,relevance,review_evidence_excerpt,review_reason
EX36-001,NOT_CATALYST,科创50指数半日涨超3%,MARKET_RECAP
EX36-002,NOT_CATALYST,将于8月18日科创板上市,NON_COMPONENT_LISTING
EX36-003,NOT_CATALYST,港股半导体股爆发,MARKET_RECAP
EX36-004,NOT_CATALYST,今日科创板晚报主要内容包括,AGGREGATED_DIGEST
EX36-005,CATALYST_RELEVANT,募集资金总额不超过17.79亿元重点投向先进封测及存储模组制造,SEMICONDUCTOR_CAPITAL_ALLOCATION
EX36-006,CATALYST_RELEVANT,三大国际芯片设计大厂近期相继向客户发出调价通知,INDUSTRY_PRICE_ACTION
EX36-007,NOT_CATALYST,全线放量普涨,MARKET_RECAP
EX36-008,NOT_CATALYST,科创50指数高开高走涨3.04%,MARKET_RECAP
EX36-009,NOT_CATALYST,首次公开发行股票并在科创板上市,NON_COMPONENT_LISTING
EX36-010,NOT_CATALYST,紫晶存储被告了,SINGLE_NAME_LEGAL
EX36-011,NOT_CATALYST,沪指小幅飘红,MARKET_RECAP
EX36-012,NOT_CATALYST,边易主边跨界算力,DISTANT_INDUSTRY_EXPOSURE
EX36-013,NOT_CATALYST,A股超百股涨停,MARKET_RECAP
EX36-014,NOT_CATALYST,于2025年8月28日发布2025年半年报,STALE_BROKER_RECAP
EX36-015,NOT_CATALYST,收涨0.58%,ETF_PROMOTION
EX36-016,NOT_CATALYST,创业板指涨1.41%,MARKET_RECAP
EX36-017,CATALYST_RELEVANT,1-2月份集成电路圆片,SEMICONDUCTOR_INDUSTRY_DATA
EX36-018,NOT_CATALYST,违规担保市值两年蒸发百亿,SINGLE_NAME_LEGAL
EX36-019,CATALYST_RELEVANT,从2024年8月31日延迟至2025年12月31日,SEMICONDUCTOR_CAPEX_DELAY
EX36-020,NOT_CATALYST,涨1.14%,ETF_PROMOTION
EX36-021,NOT_CATALYST,上涨个股超4300只,MARKET_RECAP
