hypothesis,entry_date,exit_date,holding_sessions
CORE_CONTINUATION,2021-03-01,2021-03-04,4
CORE_CONTINUATION,2021-03-17,2021-03-19,3
CORE_CONTINUATION,2021-03-31,2021-04-01,2
CORE_CONTINUATION,2021-04-07,2021-04-08,2
CORE_CONTINUATION,2021-04-15,2021-04-16,2
CORE_CONTINUATION,2021-04-19,2021-04-20,2
CORE_CONTINUATION,2021-04-23,2021-04-26,2
CORE_CONTINUATION,2021-04-28,2021-04-30,3
CORE_CONTINUATION,2021-05-12,2021-05-13,2
CORE_CONTINUATION,2021-05-14,2021-05-17,2
CORE_CONTINUATION,2021-05-18,2021-05-19,2
CORE_CONTINUATION,2021-05-24,2021-05-26,3
CORE_CONTINUATION,2021-05-31,2021-06-01,2
CORE_CONTINUATION,2021-06-08,2021-06-11,4
CORE_CONTINUATION,2021-06-21,2021-06-22,2
CORE_CONTINUATION,2021-06-25,2021-06-28,2
CORE_CONTINUATION,2021-06-29,2021-06-30,2
CORE_CONTINUATION,2021-07-06,2021-07-07,2
CORE_CONTINUATION,2021-07-08,2021-07-09,2
CORE_CONTINUATION,2021-07-15,2021-07-16,2
CORE_CONTINUATION,2021-07-19,2021-07-20,2
CORE_CONTINUATION,2021-07-22,2021-07-27,4
CORE_CONTINUATION,2021-08-02,2021-08-03,2
CORE_CONTINUATION,2021-08-04,2021-08-05,2
CORE_CONTINUATION,2021-08-06,2021-08-09,2
CORE_CONTINUATION,2021-08-10,2021-08-11,2
CORE_CONTINUATION,2021-08-18,2021-08-19,2
CORE_CONTINUATION,2021-08-20,2021-08-23,2
CORE_CONTINUATION,2021-08-25,2021-08-26,2
CORE_CONTINUATION,2021-08-31,2021-09-06,5
CORE_CONTINUATION,2021-09-09,2021-09-13,3
CORE_CONTINUATION,2021-09-17,2021-09-22,2
CORE_CONTINUATION,2021-10-18,2021-10-19,2
CORE_CONTINUATION,2021-10-25,2021-10-26,2
CORE_CONTINUATION,2021-10-27,2021-11-01,4
CORE_CONTINUATION,2021-11-02,2021-11-04,3
CORE_CONTINUATION,2021-11-08,2021-11-09,2
CORE_CONTINUATION,2021-11-17,2021-11-18,2
CORE_CONTINUATION,2021-11-22,2021-11-23,2
CORE_CONTINUATION,2021-11-26,2021-11-29,2
CORE_CONTINUATION,2021-12-01,2021-12-02,2
CORE_CONTINUATION,2021-12-03,2021-12-06,2
CORE_CONTINUATION,2021-12-07,2021-12-09,3
CORE_CONTINUATION,2021-12-10,2021-12-13,2
CORE_CONTINUATION,2021-12-16,2021-12-17,2
CORE_CONTINUATION,2021-12-24,2021-12-27,2
CORE_CONTINUATION,2021-12-28,2021-12-30,3
CORE_CONTINUATION,2021-12-31,2022-01-04,2
CORE_CONTINUATION,2022-01-10,2022-01-13,4
CORE_CONTINUATION,2022-01-19,2022-01-20,2
CORE_CONTINUATION,2022-01-26,2022-01-27,2
CORE_CONTINUATION,2022-02-08,2022-02-11,4
CORE_CONTINUATION,2022-02-14,2022-02-16,3
CORE_CONTINUATION,2022-02-18,2022-02-21,2
CORE_CONTINUATION,2022-02-22,2022-02-23,2
CORE_CONTINUATION,2022-02-24,2022-02-25,2
CORE_CONTINUATION,2022-02-28,2022-03-02,3
CORE_CONTINUATION,2022-03-09,2022-03-10,2
CORE_CONTINUATION,2022-03-11,2022-03-14,2
CORE_CONTINUATION,2022-03-16,2022-03-17,2
CORE_CONTINUATION,2022-03-18,2022-03-21,2
CORE_CONTINUATION,2022-03-23,2022-03-24,2
CORE_CONTINUATION,2022-04-01,2022-04-06,2
CORE_CONTINUATION,2022-04-12,2022-04-13,2
CORE_CONTINUATION,2022-04-27,2022-04-28,2
CORE_CONTINUATION,2022-04-29,2022-05-05,2
CORE_CONTINUATION,2022-05-09,2022-05-10,2
CORE_CONTINUATION,2022-05-12,2022-05-16,3
CORE_CONTINUATION,2022-05-19,2022-05-20,2
CORE_CONTINUATION,2022-05-25,2022-05-26,2
CORE_CONTINUATION,2022-05-27,2022-06-01,4
CORE_CONTINUATION,2022-06-02,2022-06-06,2
CORE_CONTINUATION,2022-06-08,2022-06-09,2
CORE_CONTINUATION,2022-06-10,2022-06-15,4
CORE_CONTINUATION,2022-06-17,2022-06-20,2
CORE_CONTINUATION,2022-06-21,2022-06-22,2
CORE_CONTINUATION,2022-06-23,2022-06-24,2
CORE_CONTINUATION,2022-06-28,2022-06-29,2
CORE_CONTINUATION,2022-07-05,2022-07-08,4
CORE_CONTINUATION,2022-07-11,2022-07-12,2
CORE_CONTINUATION,2022-07-19,2022-07-20,2
CORE_CONTINUATION,2022-07-22,2022-07-25,2
CORE_CONTINUATION,2022-08-01,2022-08-02,2
CORE_CONTINUATION,2022-08-05,2022-08-08,2
CORE_CONTINUATION,2022-08-09,2022-08-10,2
CORE_CONTINUATION,2022-08-22,2022-08-24,3
CORE_CONTINUATION,2022-08-25,2022-08-26,2
CORE_CONTINUATION,2022-09-02,2022-09-07,4
CORE_CONTINUATION,2022-09-09,2022-09-13,2
CORE_CONTINUATION,2022-09-19,2022-09-21,3
CORE_CONTINUATION,2022-09-22,2022-09-23,2
CORE_CONTINUATION,2022-09-27,2022-09-28,2
CORE_CONTINUATION,2022-10-12,2022-10-13,2
CORE_CONTINUATION,2022-10-14,2022-10-18,3
CORE_CONTINUATION,2022-10-21,2022-10-24,2
CORE_CONTINUATION,2022-11-04,2022-11-07,2
CORE_CONTINUATION,2022-11-08,2022-11-09,2
CORE_CONTINUATION,2022-11-14,2022-11-15,2
CORE_CONTINUATION,2022-11-17,2022-11-18,2
CORE_CONTINUATION,2022-11-21,2022-11-22,2
CORE_CONTINUATION,2022-11-28,2022-11-29,2
CORE_CONTINUATION,2022-12-05,2022-12-06,2
CORE_CONTINUATION,2022-12-09,2022-12-12,2
CORE_CONTINUATION,2022-12-20,2022-12-21,2
CORE_CONTINUATION,2022-12-26,2022-12-28,3
CORE_CONTINUATION,2023-01-03,2023-01-04,2
CORE_CONTINUATION,2023-01-13,2023-01-16,2
CORE_CONTINUATION,2023-01-19,2023-01-20,2
CORE_CONTINUATION,2023-02-01,2023-02-02,2
CORE_CONTINUATION,2023-02-03,2023-02-06,2
CORE_CONTINUATION,2023-02-09,2023-02-16,6
CORE_CONTINUATION,2023-02-20,2023-02-21,2
CORE_CONTINUATION,2023-02-22,2023-02-23,2
CORE_CONTINUATION,2023-02-28,2023-03-01,2
CORE_CONTINUATION,2023-03-03,2023-03-06,2
CORE_CONTINUATION,2023-03-08,2023-03-09,2
CORE_CONTINUATION,2023-03-13,2023-03-15,3
CORE_CONTINUATION,2023-03-23,2023-03-27,3
CORE_CONTINUATION,2023-03-30,2023-04-04,4
CORE_CONTINUATION,2023-04-07,2023-04-10,2
