state_id,frequency,name,state_primary,decision,role,hypothesis,mechanical_eligible,event_count_h5,coverage_years_h5,year_sign_consistency_h3,year_sign_consistency_h5,year_sign_consistency_h10,net_return_h3,net_return_h5,net_return_h10,mfe_h5,mae_h5,reason
STATE-25B722E7D5716B00,daily,bar_triple_V230506,三连跌,SELECT,ENTRY,oversold_mean_reversion,True,25,6,0.8333333333333334,1.0,0.8333333333333334,0.0064946411110663,0.0132565437380466,0.0123139620994,0.0244028979889592,-0.0122447569672957,语义直接，六年均有事件，3至10日方向一致
STATE-61095EABC56E27D9,30m,tas_cross_status_V230624,0轴上金叉第3次,SELECT,ENTRY_CONFIRMATION,trend_continuation,True,25,6,1.0,1.0,0.8333333333333334,0.0143512445307916,0.012394667971262,0.011978622807335,0.0323910079214862,-0.01617481467651,动量语义明确，六年覆盖，3至10日方向一致
STATE-A52AA78D99B5F894,daily,tas_macd_bs1_V230411,顶背驰,SELECT,RISK_FILTER,trend_exhaustion_avoidance,True,16,4,0.75,1.0,1.0,-0.0009423834342206,-0.0170248886381618,-0.025357740310639,0.0201206295089526,-0.0320733748981913,顶部背驰语义明确，3至10日平均效果均为负
STATE-0D5CA2C52F0EA4EC,30m,cxt_overlap_V240612,压力,SELECT,RISK_FILTER,structure_pressure_avoidance,True,43,6,0.8333333333333334,1.0,0.8333333333333334,-0.0049401206979038,-0.0112177979730918,-0.01825533087365,0.0171658543692247,-0.0282262052711478,CZSC结构压力语义明确，样本覆盖六年
STATE-5964AD1E99CEB0AB,daily,cxt_decision_V240614,开多,DEFER,ENTRY,,True,10,6,0.8333333333333334,0.8333333333333334,1.0,0.0226463117794947,0.0263845749723098,0.0319547807187801,0.0424878467434436,-0.0081920754214054,只有10次事件且内部决策语义复合
STATE-006164C95263FE18,daily,asi_up_dw_line_V230603,看空,DEFER,RISK_FILTER,,True,10,3,1.0,1.0,1.0,-0.0145131335460152,-0.0218782535082351,-0.0231232180837681,0.0072050937934092,-0.030810742813852,只有10次事件并仅覆盖3年
STATE-8F144DCDA1C16DB3,daily,bar_bpm_V230227,超弱,DEFER,ENTRY,,True,12,4,0.75,1.0,1.0,0.0134920316034534,0.0234272862638458,0.0364037773491699,0.0401864432464292,-0.0315753593550801,只有12次事件且5日平均不利波动较大
STATE-FDB5683DA2C4783A,daily,tas_macd_dist_V230409,空头远离,DEFER,ENTRY,,False,13,6,0.6666666666666666,1.0,0.6666666666666666,-0.0027716758990027,0.0145630692507641,0.0081621730855542,0.02854608176862,-0.0305982949171099,3日与5至10日平均效果方向相反
STATE-2EF5B0D0DC932357,30m,cxt_overlap_V240612,支撑,DEFER,RISK_FILTER,,True,34,6,1.0,1.0,0.6666666666666666,-0.0112189168699572,-0.0168576239224114,-0.0281109930692669,0.0119863577348037,-0.0355368640718257,效果方向与支撑字面语义冲突
STATE-D974622E0E247FA8,daily,cxt_third_bs_V230319,三卖,DEFER,ENTRY,,False,27,5,0.6,1.0,0.6,-0.000237751355237,0.0096659340234496,0.0058847615949444,0.0262173157654995,-0.0221313015571855,3日与5至10日方向相反，且正向结果与三卖语义冲突
STATE-985B1BA19C009D83,daily,bar_trend_V240209,多头,DEFER,RISK_FILTER,,True,19,6,0.8333333333333334,0.8333333333333334,0.8333333333333334,-0.0184786545825202,-0.0215605175006073,-0.0224475223225266,0.0163044624200799,-0.0402096313400192,3至10日效果为负但与多头字面语义冲突
