event_id,sample_id,entity_scope,primary_entity,event_type,direction,event_summary,evidence_excerpt,duplicate_event_key,published_at,source_experiment
EX36-E013,EX36-044,DIRECT_COMPONENT,寒武纪,KEY_PERSONNEL_CHANGE,NEGATIVE,核心技术人员梁军因分歧离职,核心技术人员梁军因与公司存在分歧,寒武纪|KEY_PERSONNEL_CHANGE|20220210,2022-03-15 16:23:24,20260913_S005_EX36
EX36-E014,EX36-044,DIRECT_COMPONENT,寒武纪,EARNINGS_CHANGE,NEGATIVE,2021年归母净亏损扩大94.98%,归母净利润亏损8.47亿元,寒武纪|EARNINGS_CHANGE|2021FY,2022-03-15 16:23:24,20260913_S005_EX36
EX36-E004,EX36-019,SEMICONDUCTOR_CHAIN,振华风光,CAPEX,NEGATIVE,晶圆制造和先进封测募投项目延期,延迟至2025年12月31日,振华风光|CAPEX_DELAY|20240314,2024-03-15 06:59:18,20260913_S005_EX36
EX36-E003,EX36-017,SEMICONDUCTOR_INDUSTRY,国家统计局,INDUSTRY_DATA,POSITIVE,2025年1至2月集成电路圆片产量同比增长19.6%,1-2月份集成电路圆片,中国集成电路圆片|INDUSTRY_DATA|202501_02,2025-03-17 12:26:00,20260913_S005_EX36
EX36-E026,EX36-055,SEMICONDUCTOR_CHAIN,华大九天,M_AND_A,AMBIGUOUS,筹划收购芯和半导体控股权,华大九天公告正在筹划以发行股份及支付现金等方式购买,华大九天|M_AND_A|20250317,2025-03-17 22:08:00,20260913_S005_EX36
EVT-013,EX38-051,IMPORTANT_COMPONENT_OR_DIRECT_INDUSTRY_CHAIN,宏微科技,EARNINGS_CHANGE,NEGATIVE,宏微科技披露2024年度亏损,宏微科技：2024年亏损1446.73万元,宏微科技|EARNINGS_CHANGE|2024FY,2025-04-15 00:19:00,20260913_S005_EX38
EVT-026,EX38-111,IMPORTANT_COMPONENT_OR_DIRECT_INDUSTRY_CHAIN,耐科装备,EARNINGS_CHANGE,POSITIVE,耐科装备披露2024年度收入增长,耐科装备2024年营收同比激增35.48%，半导体、塑料挤出业务双轮驱动业绩增长,耐科装备|EARNINGS_CHANGE|2024FY,2025-04-15 16:32:00,20260913_S005_EX38
EVT-002,EX38-008,IMPORTANT_COMPONENT_OR_DIRECT_INDUSTRY_CHAIN,中科飞测,EARNINGS_CHANGE,NEGATIVE,中科飞测披露2024年度首次亏损,中科飞测上市第二年迎来首亏 豪赌研发与产能押注长期成长,中科飞测|EARNINGS_CHANGE|2024FY,2025-04-15 17:09:00,20260913_S005_EX38
EVT-009,EX38-044,IMPORTANT_COMPONENT_OR_DIRECT_INDUSTRY_CHAIN,寒武纪,CAPITAL_ALLOCATION,AMBIGUOUS,寒武纪与地方国资设立股权投资基金,2亿！寒武纪联手台州国资 首次出手股权投资基金,寒武纪|CAPITAL_ALLOCATION|20250415,2025-04-15 20:19:00,20260913_S005_EX38
EVT-016,EX38-062,IMPORTANT_COMPONENT_OR_DIRECT_INDUSTRY_CHAIN,电科芯片,CAPITAL_ALLOCATION,POSITIVE,电科芯片控股股东一致行动人完成增持,电科芯片获电科投资增持股比已达1% 后续将继续实施,电科芯片|CAPITAL_ALLOCATION|20250415,2025-04-15 20:21:00,20260913_S005_EX38
