event_id,sample_id,entity_scope,primary_entity,event_type,direction,event_summary,evidence_excerpt,duplicate_event_key
EVT-001,EX38-003,IMPORTANT_COMPONENT_OR_DIRECT_INDUSTRY_CHAIN,海光信息,EARNINGS_CHANGE,POSITIVE,海光信息披露2025年三季度收入和利润增长,科创板首份三季报出炉！海光信息Q3营收、归母净利双双创新高,海光信息|EARNINGS_CHANGE|2025Q3
EVT-002,EX38-008,IMPORTANT_COMPONENT_OR_DIRECT_INDUSTRY_CHAIN,中科飞测,EARNINGS_CHANGE,NEGATIVE,中科飞测披露2024年度首次亏损,中科飞测上市第二年迎来首亏 豪赌研发与产能押注长期成长,中科飞测|EARNINGS_CHANGE|2024FY
EVT-003,EX38-009,IMPORTANT_COMPONENT_OR_DIRECT_INDUSTRY_CHAIN,精测电子,M_AND_A,AMBIGUOUS,精测电子筹划购买半导体子公司股权,重大资产重组！4倍牛股精测电子加码半导体，明起复牌,精测电子|M_AND_A|20260715
EVT-004,EX38-010,IMPORTANT_COMPONENT_OR_DIRECT_INDUSTRY_CHAIN,晶盛机电,ORDER_DEMAND,POSITIVE,晶盛机电披露碳化硅产品送样和批量订单进展,晶盛机电：12英寸碳化硅衬底送样验证 8英寸斩获海内外批量订单,晶盛机电|ORDER_DEMAND|20260414
EVT-005,EX38-020,IMPORTANT_COMPONENT_OR_DIRECT_INDUSTRY_CHAIN,佰维存储,EARNINGS_CHANGE,POSITIVE,佰维存储披露2026年上半年业绩预增,产品和客户结构持续优化 佰维存储预计上半年净利润70亿元至75亿元,佰维存储|EARNINGS_CHANGE|2026H1
EVT-006,EX38-022,IMPORTANT_COMPONENT_OR_DIRECT_INDUSTRY_CHAIN,帝科股份,M_AND_A,AMBIGUOUS,帝科股份拟现金收购江苏晶凯,帝科股份：3亿现金收购江苏晶凯62.5%股权  抢占AI时代存储产业机遇,帝科股份|M_AND_A|20251015
EVT-007,EX38-027,IMPORTANT_COMPONENT_OR_DIRECT_INDUSTRY_CHAIN,横店东磁,MASS_PRODUCTION,POSITIVE,横店东磁披露芯片电感规模化生产进展,横店东磁2025年度业绩说明会：计提资产减值准备致当年四季度净利下跌，芯片电感已实现规模化量产且收入增速较高,横店东磁|MASS_PRODUCTION|2025FY
EVT-008,EX38-032,IMPORTANT_COMPONENT_OR_DIRECT_INDUSTRY_CHAIN,存储芯片,PRICE_CHANGE,POSITIVE,存储价格上涨并伴随相关公司业绩增长,“1T硬盘价格都翻倍了” 存储涨价潮持续，龙头江波龙遭“杀跌”：高管已减持、现金流告急，谁在出逃？,存储芯片|PRICE_CHANGE|20260715
EVT-009,EX38-044,IMPORTANT_COMPONENT_OR_DIRECT_INDUSTRY_CHAIN,寒武纪,CAPITAL_ALLOCATION,AMBIGUOUS,寒武纪与地方国资设立股权投资基金,2亿！寒武纪联手台州国资 首次出手股权投资基金,寒武纪|CAPITAL_ALLOCATION|20250415
EVT-010,EX38-045,IMPORTANT_COMPONENT_OR_DIRECT_INDUSTRY_CHAIN,仕佳光子,CAPEX,POSITIVE,仕佳光子定增投入连续波激光器芯片项目,仕佳光子拟定增募资28亿元，一半重仓CW激光器芯片项目,仕佳光子|CAPEX|20260715
EVT-011,EX38-046,IMPORTANT_COMPONENT_OR_DIRECT_INDUSTRY_CHAIN,英唐智控,EARNINGS_CHANGE,NEGATIVE,英唐智控披露业绩下降及芯片业务进展受阻,英唐智控业绩增长困局：净利下滑，半导体芯片布局受挫,英唐智控|EARNINGS_CHANGE|2025H1
EVT-012,EX38-048,IMPORTANT_COMPONENT_OR_DIRECT_INDUSTRY_CHAIN,金山办公,EARNINGS_CHANGE,POSITIVE,金山办公披露2026年一季度业绩预增,接连押中智谱、傅里叶上市，金山办公一季度大赚超20亿元，超去年全年净利,金山办公|EARNINGS_CHANGE|2026Q1
EVT-013,EX38-051,IMPORTANT_COMPONENT_OR_DIRECT_INDUSTRY_CHAIN,宏微科技,EARNINGS_CHANGE,NEGATIVE,宏微科技披露2024年度亏损,宏微科技：2024年亏损1446.73万元,宏微科技|EARNINGS_CHANGE|2024FY
EVT-014,EX38-055,IMPORTANT_COMPONENT_OR_DIRECT_INDUSTRY_CHAIN,晶晨股份,M_AND_A,AMBIGUOUS,晶晨股份披露收购芯迈微进展,晶晨股份超500%溢价收购亏损企业 创始人几乎“0”对价退出,晶晨股份|M_AND_A|20250915
EVT-015,EX38-057,IMPORTANT_COMPONENT_OR_DIRECT_INDUSTRY_CHAIN,海光信息,EARNINGS_CHANGE,POSITIVE,海光信息披露2025年三季度收入和利润增长,海光信息、中科曙光前三季度业绩双双增长，吸收合并积极推进,海光信息|EARNINGS_CHANGE|2025Q3
EVT-016,EX38-062,IMPORTANT_COMPONENT_OR_DIRECT_INDUSTRY_CHAIN,电科芯片,CAPITAL_ALLOCATION,POSITIVE,电科芯片控股股东一致行动人完成增持,电科芯片获电科投资增持股比已达1% 后续将继续实施,电科芯片|CAPITAL_ALLOCATION|20250415
EVT-017,EX38-067,IMPORTANT_COMPONENT_OR_DIRECT_INDUSTRY_CHAIN,海光信息,EARNINGS_CHANGE,POSITIVE,海光信息披露2025年三季度利润增长,海光信息前三季度净利同比增超28% 昂瑞微、优迅股份IPO过会,海光信息|EARNINGS_CHANGE|2025Q3
EVT-018,EX38-069,IMPORTANT_COMPONENT_OR_DIRECT_INDUSTRY_CHAIN,佰维存储,EARNINGS_CHANGE,POSITIVE,佰维存储披露2026年一季度收入和利润增长,佰维存储Q1营收、净利同比双增 AI端侧产品收入猛增四倍 但采购增加拖累现金流,佰维存储|EARNINGS_CHANGE|2026Q1
EVT-019,EX38-072,IMPORTANT_COMPONENT_OR_DIRECT_INDUSTRY_CHAIN,仕佳光子,CAPEX,POSITIVE,仕佳光子定增扩充高速光芯片产能,仕佳光子定增募资不超28亿元 投建高速AWG芯片及光互连组件产能建设等项目,仕佳光子|CAPEX|20260715
EVT-020,EX38-079,IMPORTANT_COMPONENT_OR_DIRECT_INDUSTRY_CHAIN,概伦电子,EARNINGS_CHANGE,POSITIVE,概伦电子披露收入和利润增长,EDA产品收入增长 概伦电子2025年营收、净利创上市以来新高,概伦电子|EARNINGS_CHANGE|2025FY
EVT-021,EX38-080,IMPORTANT_COMPONENT_OR_DIRECT_INDUSTRY_CHAIN,芯原股份,M_AND_A,AMBIGUOUS,芯原股份拟收购逐点半导体控制权,芯原股份(688521.SH)拟联合共同投资人收购逐点半导体控制权,芯原股份|M_AND_A|20251015
EVT-022,EX38-092,IMPORTANT_COMPONENT_OR_DIRECT_INDUSTRY_CHAIN,沪电股份,ORDER_DEMAND,POSITIVE,沪电股份披露AI服务器相关需求和产能进展,沪电股份：布局高阶PCB产能 深度绑定AI服务器与汽车算力赛道,沪电股份|ORDER_DEMAND|2026H1
EVT-023,EX38-100,IMPORTANT_COMPONENT_OR_DIRECT_INDUSTRY_CHAIN,佰维存储,EARNINGS_CHANGE,POSITIVE,佰维存储披露2026年上半年业绩预增,佰维存储预计上半年归母净利至高75亿元 多家存储企业同步预喜,佰维存储|EARNINGS_CHANGE|2026H1
EVT-024,EX38-103,IMPORTANT_COMPONENT_OR_DIRECT_INDUSTRY_CHAIN,容百科技,CAPEX,AMBIGUOUS,容百科技拟扩大磷酸铁锂产能,容百科技拟投43亿元扩建磷酸铁锂产能 布局52万吨前驱体及34万吨正极材料项目,容百科技|CAPEX|20260415
EVT-025,EX38-104,IMPORTANT_COMPONENT_OR_DIRECT_INDUSTRY_CHAIN,寒武纪,EARNINGS_CHANGE,POSITIVE,寒武纪披露2021年度收入增长,百家机构潜伏“AI芯片设计第一股” 寒武纪去年营收同比增五成,寒武纪|EARNINGS_CHANGE|2021FY
EVT-026,EX38-111,IMPORTANT_COMPONENT_OR_DIRECT_INDUSTRY_CHAIN,耐科装备,EARNINGS_CHANGE,POSITIVE,耐科装备披露2024年度收入增长,耐科装备2024年营收同比激增35.48%，半导体、塑料挤出业务双轮驱动业绩增长,耐科装备|EARNINGS_CHANGE|2024FY
EVT-027,EX38-115,IMPORTANT_COMPONENT_OR_DIRECT_INDUSTRY_CHAIN,容百科技,CAPEX,AMBIGUOUS,容百科技拟扩大磷酸铁锂产能,业绩阶段性承压   容百科技豪掷42.98亿元扩产磷酸铁锂,容百科技|CAPEX|20260415
