date,signal_date,target_position,close,equity
2021-06-02,2021-06-01,1.0,1.453,97636.13312639044
2021-06-03,2021-06-02,1.0,1.44,96762.58203854249
2021-06-04,2021-06-03,1.0,1.46,98106.5067890778
2021-06-07,2021-06-04,1.0,1.463,98308.0955016581
2021-06-08,2021-06-07,1.0,1.449,97367.34817628338
2021-06-09,2021-06-08,1.0,1.458,97972.11431402426
2021-06-10,2021-06-09,1.0,1.48,99450.43153961311
2021-06-11,2021-06-10,1.0,1.47,98778.46916434546
2021-06-15,2021-06-11,1.0,1.48,99450.43153961311
2021-06-16,2021-06-15,1.0,1.439,96695.38580101573
2021-06-17,2021-06-16,1.0,1.505,101130.33747778225
2021-06-18,2021-06-17,1.0,1.529,102743.04717842462
2021-06-21,2021-06-18,1.0,1.563,105027.71925433466
2021-06-22,2021-06-21,1.0,1.556,104557.3455916473
2021-06-23,2021-06-22,1.0,1.565,105162.11172938818
2021-06-24,2021-06-23,1.0,1.54,103482.20579121905
2021-06-25,2021-06-24,1.0,1.573,105699.68162960232
2021-06-28,2021-06-25,1.0,1.597,107312.39133024469
2021-06-29,2021-06-28,1.0,1.598,107379.58756777146
2021-06-30,2021-06-29,1.0,1.626,109261.08221852088
2021-07-01,2021-06-30,1.0,1.613,108387.53113067294
2021-07-02,2021-07-01,1.0,1.571,105565.28915454878
2021-07-05,2021-07-02,1.0,1.613,108387.53113067294
2021-07-06,2021-07-05,1.0,1.57,105498.09291702202
2021-07-07,2021-07-06,1.0,1.605,107849.96123045881
2021-07-08,2021-07-07,1.0,1.648,110739.39944410973
2021-07-09,2021-07-08,1.0,1.627,109328.27845604766
2021-07-12,2021-07-09,1.0,1.64,110201.82954389561
2021-07-13,2021-07-12,1.0,1.627,109328.27845604766
2021-07-14,2021-07-13,1.0,1.599,107446.78380529823
2021-07-15,2021-07-14,1.0,1.598,107379.58756777146
2021-07-16,2021-07-15,1.0,1.565,105162.11172938818
2021-07-19,2021-07-16,1.0,1.551,104221.36440401347
2021-07-20,2021-07-19,1.0,1.562,104960.5230168079
2021-07-21,2021-07-20,1.0,1.6,107513.98004282499
2021-07-22,2021-07-21,1.0,1.621,108925.10103088706
2021-07-23,2021-07-22,1.0,1.607,107984.35370551235
2021-07-26,2021-07-23,1.0,1.594,107110.8026176644
2021-07-27,2021-07-26,1.0,1.589,106774.82143003057
2021-07-28,2021-07-27,1.0,1.556,104557.3455916473
2021-07-29,2021-07-28,1.0,1.631,109597.06340615472
2021-07-30,2021-07-29,1.0,1.632,109664.25964368148
2021-08-02,2021-07-30,1.0,1.636,109933.04459378854
2021-08-03,2021-08-02,1.0,1.605,107849.96123045881
2021-08-04,2021-08-03,1.0,1.647,110672.20320658297
2021-08-05,2021-08-04,1.0,1.642,110336.22201894913
2021-08-06,2021-08-05,1.0,1.63,109529.86716862796
2021-08-09,2021-08-06,1.0,1.612,108320.33489314618
2021-08-10,2021-08-09,1.0,1.626,109261.08221852088
2021-08-11,2021-08-10,1.0,1.616,108589.11984325324
2021-08-12,2021-08-11,1.0,1.623,109059.4935059406
2021-08-13,2021-08-12,1.0,1.596,107245.19509271793
2021-08-16,2021-08-13,1.0,1.589,106774.82143003057
2021-08-17,2021-08-16,1.0,1.551,104221.36440401347
2021-08-18,2021-08-17,1.0,1.545,103818.18697885287
2021-08-19,2021-08-18,1.0,1.586,106573.23271745027
2021-08-20,2021-08-19,1.0,1.568,105363.7004419685
2021-08-23,2021-08-20,1.0,1.602,107648.37251787852
2021-08-24,2021-08-23,1.0,1.619,108790.70855583354
2021-08-25,2021-08-24,1.0,1.585,106506.0364799235
2021-08-26,2021-08-25,1.0,1.542,103616.59826627259
2021-08-27,2021-08-26,1.0,1.523,102339.86975326402
2021-08-30,2021-08-27,1.0,1.506,101197.53371530902
2021-08-31,2021-08-30,1.0,1.473,98980.05787692576
2021-09-01,2021-08-31,1.0,1.463,98308.0955016581
2021-09-02,2021-09-01,1.0,1.439,96695.38580101573
2021-09-03,2021-09-02,1.0,1.443,96964.17075112279
2021-09-06,2021-09-03,1.0,1.471,98845.66540187223
2021-09-07,2021-09-06,1.0,1.474,99047.25411445252
2021-09-08,2021-09-07,1.0,1.449,97367.34817628338
2021-09-09,2021-09-08,1.0,1.438,96628.18956348895
2021-09-10,2021-09-09,1.0,1.465,98442.48797671164
2021-09-13,2021-09-10,1.0,1.421,95485.85352553394
2021-09-14,2021-09-13,1.0,1.435,96426.60085090867
2021-09-15,2021-09-14,1.0,1.419,95351.46105048041
2021-09-16,2021-09-15,1.0,1.389,93335.57392467745
2021-09-17,2021-09-16,1.0,1.394,93671.55511231127
2021-09-22,2021-09-17,1.0,1.393,93604.3588747845
2021-09-23,2021-09-22,1.0,1.399,94007.5362999451
2021-09-24,2021-09-23,1.0,1.413,94948.28362531982
2021-09-27,2021-09-24,1.0,1.408,94612.30243768598
2021-09-28,2021-09-27,1.0,1.39,93402.77016220421
2021-09-29,2021-09-28,1.0,1.382,92865.20026199007
2021-09-30,2021-09-29,1.0,1.405,94410.7137251057
2021-10-08,2021-09-30,1.0,1.405,94410.7137251057
2021-10-11,2021-10-08,1.0,1.388,93268.37768715067
2021-10-12,2021-10-11,1.0,1.359,91319.68679887448
2021-10-13,2021-10-12,1.0,1.377,92529.21907435625
2021-10-14,2021-10-13,1.0,1.382,92865.20026199007
2021-10-15,2021-10-14,1.0,1.398,93940.34006241833
2021-10-18,2021-10-15,1.0,1.387,93201.18144962391
2021-10-19,2021-10-18,1.0,1.401,94141.92877499863
2021-10-20,2021-10-19,1.0,1.408,94612.30243768598
2021-10-21,2021-10-20,1.0,1.395,93738.75134983804
2021-10-22,2021-10-21,1.0,1.405,94410.7137251057
2021-10-25,2021-10-22,1.0,1.414,95015.47986284658
2021-10-26,2021-10-25,1.0,1.413,94948.28362531982
2021-10-27,2021-10-26,1.0,1.394,93671.55511231127
2021-10-28,2021-10-27,1.0,1.395,93738.75134983804
2021-10-29,2021-10-28,1.0,1.431,96157.81590080161
2021-11-01,2021-10-29,1.0,1.442,96896.97451359601
2021-11-02,2021-11-01,1.0,1.444,97031.36698864955
2021-11-03,2021-11-02,1.0,1.433,96292.20837585513
2021-11-04,2021-11-03,1.0,1.446,97165.75946370309
2021-11-05,2021-11-04,1.0,1.435,96426.60085090867
2021-11-08,2021-11-05,1.0,1.436,96493.79708843543
2021-11-09,2021-11-08,1.0,1.457,97904.9180764975
2021-11-10,2021-11-09,1.0,1.456,97837.72183897074
2021-11-11,2021-11-10,1.0,1.473,98980.05787692576
2021-11-12,2021-11-11,1.0,1.478,99316.03906455958
2021-11-15,2021-11-12,1.0,1.468,98644.07668929192
2021-11-16,2021-11-15,1.0,1.456,97837.72183897074
2021-11-17,2021-11-16,1.0,1.473,98980.05787692576
2021-11-18,2021-11-17,1.0,1.461,98173.70302660458
2021-11-19,2021-11-18,1.0,1.48,99450.43153961311
2021-11-22,2021-11-19,1.0,1.518,102003.8885656302
2021-11-23,2021-11-22,1.0,1.516,101869.49609057668
2021-11-24,2021-11-23,1.0,1.509,101399.1224278893
2021-11-25,2021-11-24,1.0,1.506,101197.53371530902
2021-11-26,2021-11-25,1.0,1.496,100525.57134004137
2021-11-29,2021-11-26,1.0,1.512,101600.71114046962
2021-11-30,2021-11-29,1.0,1.51,101466.31866541608
2021-12-01,2021-11-30,1.0,1.494,100391.17886498783
2021-12-02,2021-12-01,1.0,1.466,98509.6842142384
2021-12-03,2021-12-02,1.0,1.484,99719.21648972017
2021-12-06,2021-12-03,1.0,1.445,97098.56322617632
2021-12-07,2021-12-06,1.0,1.437,96560.99332596219
2021-12-08,2021-12-07,1.0,1.451,97501.74065133692
2021-12-09,2021-12-08,1.0,1.468,98644.07668929192
2021-12-10,2021-12-09,1.0,1.485,99786.41272724695
2021-12-13,2021-12-10,1.0,1.484,99719.21648972017
2021-12-14,2021-12-13,1.0,1.48,99450.43153961311
2021-12-15,2021-12-14,1.0,1.463,98308.0955016581
2021-12-16,2021-12-15,1.0,1.465,98442.48797671164
2021-12-17,2021-12-16,1.0,1.441,96829.77827606926
2021-12-20,2021-12-17,1.0,1.408,94612.30243768598
2021-12-21,2021-12-20,1.0,1.414,95015.47986284658
2021-12-22,2021-12-21,1.0,1.411,94813.89115026628
2021-12-23,2021-12-22,1.0,1.415,95082.67610037336
2021-12-24,2021-12-23,1.0,1.4,94074.73253747186
2021-12-27,2021-12-24,1.0,1.393,93604.3588747845
2021-12-28,2021-12-27,1.0,1.407,94545.10620015922
2021-12-29,2021-12-28,1.0,1.394,93671.55511231127
2021-12-30,2021-12-29,1.0,1.416,95149.8723379001
2021-12-31,2021-12-30,1.0,1.436,96493.79708843543
2022-01-04,2021-12-31,1.0,1.404,94343.51748757892
2022-01-05,2022-01-04,1.0,1.372,92193.23788672243
2022-01-06,2022-01-05,1.0,1.363,91588.47174898154
2022-01-07,2022-01-06,1.0,1.346,90446.13571102652
2022-01-10,2022-01-07,1.0,1.359,91319.68679887448
2022-01-11,2022-01-10,1.0,1.334,89639.78086070534
2022-01-12,2022-01-11,1.0,1.351,90782.11689866034
2022-01-13,2022-01-12,1.0,1.336,89774.17333575887
2022-01-14,2022-01-13,1.0,1.349,90647.72442360682
2022-01-17,2022-01-14,1.0,1.372,92193.23788672243
2022-01-18,2022-01-17,1.0,1.379,92663.61154940979
2022-01-19,2022-01-18,1.0,1.362,91521.27551145478
2022-01-20,2022-01-19,1.0,1.345,90378.93947349975
2022-01-21,2022-01-20,1.0,1.328,89236.60343554475
2022-01-24,2022-01-21,1.0,1.347,90513.33194855328
2022-01-25,2022-01-24,1.0,1.315,88363.05234769678
2022-01-26,2022-01-25,1.0,1.311,88094.26739758972
2022-01-27,2022-01-26,1.0,1.275,85675.20284662615
2022-01-28,2022-01-27,1.0,1.268,85204.8291839388
2022-02-07,2022-01-28,1.0,1.272,85473.61413404587
2022-02-08,2022-02-07,1.0,1.242,83457.7270082429
2022-02-09,2022-02-08,1.0,1.245,83659.3157208232
2022-02-10,2022-02-09,1.0,1.223,82180.99849523435
2022-02-11,2022-02-10,1.0,1.204,80904.2699822258
2022-02-14,2022-02-11,1.0,1.207,81105.8586948061
2022-02-15,2022-02-14,1.0,1.237,83121.74582060908
2022-02-16,2022-02-15,1.0,1.23,82651.37215792171
2022-02-17,2022-02-16,1.0,1.24,83323.33453318937
2022-02-18,2022-02-17,1.0,1.24,83323.33453318937
2022-02-21,2022-02-18,1.0,1.228,82516.97968286817
2022-02-22,2022-02-21,1.0,1.221,82046.60602018083
2022-02-23,2022-02-22,1.0,1.264,84936.04423383174
2022-02-24,2022-02-23,1.0,1.249,83928.10067093026
2022-02-25,2022-02-24,1.0,1.275,85675.20284662615
2022-02-28,2022-02-25,1.0,1.283,86212.77274684029
2022-03-01,2022-02-28,1.0,1.276,85742.39908415293
2022-03-02,2022-03-01,1.0,1.265,85003.2404713585
2022-03-03,2022-03-02,1.0,1.244,83592.11948329642
2022-03-04,2022-03-03,1.0,1.24,83323.33453318937
2022-03-07,2022-03-04,1.0,1.204,80904.2699822258
2022-03-08,2022-03-07,1.0,1.172,78753.9903813693
2022-03-09,2022-03-08,1.0,1.163,78149.22424362841
2022-03-10,2022-03-09,1.0,1.187,79761.93394427079
2022-03-11,2022-03-10,1.0,1.197,80433.89631953844
2022-03-14,2022-03-11,1.0,1.161,78014.83176857488
2022-03-15,2022-03-14,1.0,1.13,75931.74840524515
2022-03-16,2022-03-15,1.0,1.157,77746.04681846782
2022-03-17,2022-03-16,1.0,1.176,79022.77533147635
2022-03-18,2022-03-17,1.0,1.175,78955.57909394961
2022-03-21,2022-03-18,1.0,1.184,79560.34523169049
2022-03-22,2022-03-21,1.0,1.165,78283.61671868195
2022-03-23,2022-03-22,1.0,1.177,79089.97156900313
2022-03-24,2022-03-23,1.0,1.167,78418.00919373547
2022-03-25,2022-03-24,1.0,1.14,76603.7107805128
2022-03-28,2022-03-25,1.0,1.123,75461.37474255779
2022-03-29,2022-03-28,1.0,1.111,74655.0198922366
2022-03-30,2022-03-29,1.0,1.142,76738.10325556633
2022-03-31,2022-03-30,1.0,1.122,75394.17850503103
2022-04-01,2022-03-31,1.0,1.122,75394.17850503103
2022-04-06,2022-04-01,1.0,1.092,73378.29137922806
2022-04-07,2022-04-06,1.0,1.068,71765.58167858569
2022-04-08,2022-04-07,1.0,1.057,71026.42306579126
2022-04-11,2022-04-08,1.0,1.025,68876.14346493475
2022-04-12,2022-04-11,1.0,1.026,68943.33970246153
2022-04-13,2022-04-12,1.0,0.993,66725.86386407826
2022-04-14,2022-04-13,1.0,1.004,67465.02247687268
2022-04-15,2022-04-14,1.0,1.003,67397.8262393459
2022-04-18,2022-04-15,1.0,1.033,69413.71336514888
2022-04-19,2022-04-18,1.0,1.018,68405.76980224739
2022-04-20,2022-04-19,1.0,1.002,67330.63000181915
2022-04-21,2022-04-20,1.0,0.986,66255.4902013909
2022-04-22,2022-04-21,1.0,0.971,65247.54663848941
2022-04-25,2022-04-22,1.0,0.913,61350.16486193701
2022-04-26,2022-04-25,1.0,0.895,60140.63258645523
2022-04-27,2022-04-26,1.0,0.934,62761.28584999909
2022-04-28,2022-04-27,1.0,0.929,62425.30466236526
2022-04-29,2022-04-28,1.0,0.975,65516.33158859648
2022-05-05,2022-04-29,1.0,0.983,66053.9014888106
2022-05-06,2022-05-05,1.0,0.972,65314.74287601618
2022-05-09,2022-05-06,1.0,0.975,65516.33158859648
2022-05-10,2022-05-09,1.0,0.999,67129.04128923886
2022-05-11,2022-05-10,1.0,1.029,69144.92841504181
2022-05-12,2022-05-11,1.0,1.042,70018.47950288978
2022-05-13,2022-05-12,1.0,1.041,69951.283265363
2022-05-16,2022-05-13,1.0,1.025,68876.14346493475
2022-05-17,2022-05-16,1.0,1.041,69951.283265363
2022-05-18,2022-05-17,1.0,1.044,70152.8719779433
2022-05-19,2022-05-18,1.0,1.068,71765.58167858569
2022-05-20,2022-05-19,1.0,1.078,72437.54405385334
2022-05-23,2022-05-20,1.0,1.076,72303.1515787998
2022-05-24,2022-05-23,1.0,1.027,69010.53593998829
2022-05-25,2022-05-24,1.0,1.035,69548.1058402024
2022-05-26,2022-05-25,1.0,1.031,69279.32089009535
2022-05-27,2022-05-26,1.0,1.026,68943.33970246153
2022-05-30,2022-05-27,1.0,1.031,69279.32089009535
2022-05-31,2022-05-30,1.0,1.065,71563.99296600537
2022-06-01,2022-05-31,1.0,1.063,71429.60049095185
2022-06-02,2022-06-01,1.0,1.115,74923.80484234366
2022-06-06,2022-06-02,1.0,1.158,77813.24305599458
2022-06-07,2022-06-06,1.0,1.144,76872.49573061986
2022-06-08,2022-06-07,1.0,1.146,77006.88820567339
2022-06-09,2022-06-08,1.0,1.114,74856.60860481691
2022-06-10,2022-06-09,1.0,1.138,76469.31830545927
2022-06-13,2022-06-10,1.0,1.121,75326.98226750425
2022-06-14,2022-06-13,1.0,1.105,74251.842467076
2022-06-15,2022-06-14,1.0,1.098,73781.46880438866
2022-06-16,2022-06-15,1.0,1.111,74655.0198922366
2022-06-17,2022-06-16,1.0,1.128,75797.35593019161
2022-06-20,2022-06-17,1.0,1.129,75864.55216771839
2022-06-21,2022-06-20,1.0,1.117,75058.1973173972
2022-06-22,2022-06-21,1.0,1.096,73647.07632933512
2022-06-23,2022-06-22,1.0,1.115,74923.80484234366
2022-06-24,2022-06-23,1.0,1.137,76402.1220679325
2022-06-27,2022-06-24,1.0,1.136,76334.92583040573
2022-06-28,2022-06-27,1.0,1.153,77477.26186836076
2022-06-29,2022-06-28,1.0,1.125,75595.76721761131
2022-06-30,2022-06-29,1.0,1.14,76603.7107805128
2022-07-01,2022-06-30,1.0,1.13,75931.74840524515
2022-07-04,2022-07-01,1.0,1.128,75797.35593019161
2022-07-05,2022-07-04,1.0,1.122,75394.17850503103
2022-07-06,2022-07-05,1.0,1.136,76334.92583040573
2022-07-07,2022-07-06,1.0,1.145,76939.69196814664
2022-07-08,2022-07-07,1.0,1.139,76536.51454298604
2022-07-11,2022-07-08,1.0,1.114,74856.60860481691
2022-07-12,2022-07-11,1.0,1.083,72773.52524148716
2022-07-13,2022-07-12,1.0,1.084,72840.72147901394
2022-07-14,2022-07-13,1.0,1.11,74587.82365470983
2022-07-15,2022-07-14,1.0,1.104,74184.64622954925
2022-07-18,2022-07-15,1.0,1.105,74251.842467076
2022-07-19,2022-07-18,1.0,1.094,73512.6838542816
2022-07-20,2022-07-19,1.0,1.113,74789.41236729013
2022-07-21,2022-07-20,1.0,1.13,75931.74840524515
2022-07-22,2022-07-21,1.0,1.118,75125.39355492397
2022-07-25,2022-07-22,1.0,1.108,74453.43117965631
2022-07-26,2022-07-25,1.0,1.118,75125.39355492397
2022-07-27,2022-07-26,1.0,1.13,75931.74840524515
2022-07-28,2022-07-27,1.0,1.143,76805.2994930931
2022-07-29,2022-07-28,1.0,1.122,75394.17850503103
2022-08-01,2022-07-29,1.0,1.136,76334.92583040573
2022-08-02,2022-08-01,1.0,1.137,76402.1220679325
2022-08-03,2022-08-02,1.0,1.134,76200.5333553522
2022-08-04,2022-08-03,1.0,1.148,77141.28068072692
2022-08-05,2022-08-04,1.0,1.2,80635.48503211874
2022-08-08,2022-08-05,1.0,1.194,80232.30760695814
2022-08-09,2022-08-08,1.0,1.198,80501.0925570652
2022-08-10,2022-08-09,1.0,1.193,80165.11136943138
2022-08-11,2022-08-10,1.0,1.213,81509.0361199667
2022-08-12,2022-08-11,1.0,1.185,79627.54146921726
2022-08-15,2022-08-12,1.0,1.181,79358.7565191102
2022-08-16,2022-08-15,1.0,1.173,78821.18661889607
2022-08-17,2022-08-16,1.0,1.169,78552.40166878901
2022-08-18,2022-08-17,1.0,1.183,79493.14899416373
2022-08-19,2022-08-18,1.0,1.146,77006.88820567339
2022-08-22,2022-08-19,1.0,1.142,76738.10325556633
2022-08-23,2022-08-22,1.0,1.143,76805.2994930931
2022-08-24,2022-08-23,1.0,1.104,74184.64622954925
2022-08-25,2022-08-24,1.0,1.091,73311.09514170128
2022-08-26,2022-08-25,1.0,1.082,72706.3290039604
2022-08-29,2022-08-26,1.0,1.089,73176.70266664776
2022-08-30,2022-08-29,1.0,1.085,72907.91771654069
2022-08-31,2022-08-30,1.0,1.062,71362.40425342509
2022-09-01,2022-08-31,1.0,1.062,71362.40425342509
2022-09-02,2022-09-01,1.0,1.067,71698.38544105891
2022-09-05,2022-09-02,1.0,1.057,71026.42306579126
2022-09-06,2022-09-05,1.0,1.069,71832.77791611243
2022-09-07,2022-09-06,1.0,1.085,72907.91771654069
2022-09-08,2022-09-07,1.0,1.075,72235.95534127303
2022-09-09,2022-09-08,1.0,1.07,71899.97415363921
2022-09-13,2022-09-09,1.0,1.061,71295.20801589832
2022-09-14,2022-09-13,1.0,1.061,71295.20801589832
2022-09-15,2022-09-14,1.0,1.029,69144.92841504181
2022-09-16,2022-09-15,1.0,1.024,68808.94722740799
2022-09-19,2022-09-16,1.0,1.008,67733.80742697974
2022-09-20,2022-09-19,1.0,1.014,68136.98485214033
2022-09-21,2022-09-20,1.0,1.0,67196.23752676562
2022-09-22,2022-09-21,1.0,1.005,67532.21871439944
2022-09-23,2022-09-22,1.0,0.99,66524.27515149796
2022-09-26,2022-09-23,1.0,0.99,66524.27515149796
2022-09-27,2022-09-26,1.0,1.004,67465.02247687268
2022-09-28,2022-09-27,1.0,0.983,66053.9014888106
2022-09-29,2022-09-28,1.0,0.989,66457.0789139712
2022-09-30,2022-09-29,1.0,0.967,64978.76168838235
2022-10-10,2022-09-30,1.0,0.923,62022.127237204666
2022-10-11,2022-10-10,1.0,0.918,61686.14604957084
2022-10-12,2022-10-11,1.0,0.953,64038.01436300763
2022-10-13,2022-10-12,1.0,0.955,64172.406838061164
2022-10-14,2022-10-13,1.0,0.985,66188.29396386413
2022-10-17,2022-10-14,1.0,0.99,66524.27515149796
2022-10-18,2022-10-17,1.0,0.988,66389.88267644442
2022-10-19,2022-10-18,1.0,0.977,65650.72406365
2022-10-20,2022-10-19,1.0,0.992,66658.6676265515
2022-10-21,2022-10-20,1.0,0.997,66994.64881418532
2022-10-24,2022-10-21,1.0,0.999,67129.04128923886
2022-10-25,2022-10-24,1.0,1.0,67196.23752676562
2022-10-26,2022-10-25,1.0,1.035,69548.1058402024
2022-10-27,2022-10-26,1.0,1.035,69548.1058402024
2022-10-28,2022-10-27,1.0,1.026,68943.33970246153
2022-10-31,2022-10-28,1.0,1.043,70085.67574041654
2022-11-01,2022-10-31,1.0,1.053,70757.6381156842
2022-11-02,2022-11-01,1.0,1.069,71832.77791611243
2022-11-03,2022-11-02,1.0,1.08,72571.93652890687
2022-11-04,2022-11-03,1.0,1.104,74184.64622954925
2022-11-07,2022-11-04,1.0,1.091,73311.09514170128
2022-11-08,2022-11-07,1.0,1.083,72773.52524148716
2022-11-09,2022-11-08,1.0,1.067,71698.38544105891
2022-11-10,2022-11-09,1.0,1.054,70824.83435321096
