signal_date,source_event,champion_score,challenger_score,champion_target,challenger_target
2020-11-16,0.0,0.0,0.0,0.0,0.0
2020-11-17,0.0,0.0,0.0,0.0,0.0
2020-11-18,0.0,0.0,0.0,0.0,0.0
2020-11-19,0.0,0.0,0.0,0.0,0.0
2020-11-20,0.0,0.0,0.0,0.0,0.0
2020-11-23,0.0,0.0,0.0,0.0,0.0
2020-11-24,0.0,0.0,0.0,0.0,0.0
2020-11-25,0.0,0.0,0.0,0.0,0.0
2020-11-26,0.0,0.0,0.0,0.0,0.0
2020-11-27,0.0,0.0,0.0,0.0,0.0
2020-11-30,0.0,0.0,0.0,0.0,0.0
2020-12-01,0.0,0.0,0.0,0.0,0.0
2020-12-02,0.0,0.0,0.0,0.0,0.0
2020-12-03,0.0,0.0,0.0,0.0,0.0
2020-12-04,0.0,0.0,0.0,0.0,0.0
2020-12-07,0.0,0.0,0.0,0.0,0.0
2020-12-08,0.0,0.0,0.0,0.0,0.0
2020-12-09,0.0,0.0,0.0,0.0,0.0
2020-12-10,0.0,0.0,0.0,0.0,0.0
2020-12-11,0.0,0.0,0.0,0.0,0.0
2020-12-14,0.0,0.0,0.0,0.0,0.0
2020-12-15,0.0,0.0,0.0,0.0,0.0
2020-12-16,0.0,0.0,0.0,0.0,0.0
2020-12-17,0.0,0.0,0.0,0.0,0.0
2020-12-18,0.0,0.0,0.0,0.0,0.0
2020-12-21,0.0,0.0,0.0,0.0,0.0
2020-12-22,0.0,0.0,0.0,0.0,0.0
2020-12-23,0.0,0.0,0.0,0.0,0.0
2020-12-24,0.0,0.0,0.0,0.0,0.0
2020-12-25,0.0,0.0,0.0,0.0,0.0
2020-12-28,0.0,-0.29780296157749153,-0.23824236926199321,0.0,0.0
2020-12-29,0.0,-0.29780296157749153,-0.23824236926199321,0.0,0.0
2020-12-30,0.0,0.012345679012345678,0.009876543209876548,0.0,0.0
2020-12-31,0.0,0.012345679012345678,0.009876543209876548,0.0,0.0
2021-01-04,0.0,0.012345679012345678,0.009876543209876548,0.0,0.0
2021-01-05,0.0,0.012345679012345678,0.009876543209876548,0.0,0.0
2021-01-06,0.0,0.1550743202949186,0.12405945623593488,0.0,0.0
2021-01-07,0.0,0.03523053474851196,0.028184427798809572,0.0,0.0
2021-01-08,0.0,-0.10749810653406097,-0.08599848522724877,0.0,0.0
2021-01-11,0.0,0.03523053474851196,0.028184427798809572,0.0,0.0
2021-01-12,0.0,0.20265053405577624,0.162120427244621,1.0,0.0
2021-01-13,0.0,0.20265053405577624,0.162120427244621,1.0,0.0
2021-01-14,0.0,0.1550743202949186,0.12405945623593488,1.0,0.0
2021-01-15,0.0,0.1550743202949186,0.12405945623593488,1.0,0.0
2021-01-18,0.0,0.1550743202949186,0.12405945623593488,1.0,0.0
2021-01-19,0.0,0.1550743202949186,0.12405945623593488,1.0,0.0
2021-01-20,0.0,0.1550743202949186,0.12405945623593488,1.0,0.0
2021-01-21,0.0,0.3453791753383492,0.2763033402706794,1.0,1.0
2021-01-22,0.0,0.39295538909920685,0.3143643112793655,1.0,1.0
2021-01-25,0.0,0.3453791753383492,0.2763033402706794,1.0,1.0
2021-01-26,0.0,0.32068781731365786,0.25655025385092634,1.0,1.0
2021-01-27,0.0,0.22553538979194257,0.1804283118335541,1.0,1.0
2021-01-28,0.0,-0.059921892773203284,-0.04793751421856261,0.0,0.0
