signal_date,execution_date,side,size,price,fees
2021-01-21,2021-01-22,Buy,662798.5741877073,1.508,499.75012493750546
2021-01-28,2021-01-29,Sell,662798.5741877073,1.456,482.51736200865093
2021-03-26,2021-03-29,Buy,750249.1607544813,1.285,482.035085784737
2021-04-12,2021-04-13,Sell,750249.1607544813,1.267,475.28284333796387
2021-04-16,2021-04-19,Buy,730473.5354112096,1.3,474.80779801728204
2021-06-16,2021-06-17,Sell,730473.5354112096,1.441,526.3061822637766
2021-06-17,2021-06-18,Buy,698711.1483097583,1.505,525.7801391030662
2021-07-06,2021-07-07,Sell,698711.1483097583,1.557,543.9466289591468
2021-07-07,2021-07-08,Buy,678405.6856024762,1.602,543.4029541674536
2021-07-14,2021-07-15,Sell,678405.6856024762,1.589,538.9933172111673
2021-07-29,2021-07-30,Buy,662305.7727625262,1.626,538.4545932558831
2021-08-09,2021-08-10,Sell,662305.7727625262,1.604,531.169229755546
2021-10-15,2021-10-18,Buy,759139.2360195699,1.398,530.6383259776048
2021-10-27,2021-10-28,Sell,759139.2360195699,1.391,527.9813386516109
2021-10-29,2021-11-01,Buy,736152.9953547791,1.433,527.4536211716477
2021-12-02,2021-12-03,Sell,736152.9953547791,1.469,540.7043750880853
2021-12-03,2021-12-06,Buy,728966.1820918708,1.482,540.1639409300406
2021-12-08,2021-12-09,Sell,728966.1820918708,1.45,528.5004820166064
2021-12-10,2021-12-13,Buy,711552.8917153258,1.484,527.9722456526943
2021-12-15,2021-12-16,Sell,711552.8917153258,1.463,520.5009402897608
2021-12-17,2021-12-20,Buy,723199.8601806412,1.438,519.980699469801
2021-12-23,2021-12-24,Sell,723199.8601806412,1.415,511.66390107780364
2021-12-30,2021-12-31,Buy,721457.2941154895,1.417,511.1524928808212
2022-01-05,2022-01-06,Sell,721457.2941154895,1.371,494.558975116168
2022-01-17,2022-01-18,Buy,720210.8794416348,1.372,494.06466329691466
2022-01-20,2022-01-21,Sell,720210.8794416348,1.343,483.6216055450578
2022-02-18,2022-02-21,Buy,779255.2026281782,1.24,483.13822562946007
2022-03-03,2022-03-04,Sell,779255.2026281782,1.239,482.74859802815644
2022-03-21,2022-03-22,Buy,818787.9298536511,1.178,482.26609068375546
2022-03-24,2022-03-25,Sell,818787.9298536511,1.167,477.7627570696054
2022-05-05,2022-05-06,Buy,999550.2263341014,0.955,477.28523307444993
2022-06-22,2022-06-23,Sell,999550.2263341014,1.095,547.2537489179206
2022-06-24,2022-06-27,Buy,958294.0730221419,1.141,546.7067686591763
2022-07-11,2022-07-12,Sell,958294.0730221419,1.11,531.8532105272889
2022-07-26,2022-07-27,Buy,953898.7847584739,1.114,531.3216231104452
2022-08-19,2022-08-22,Sell,953898.7847584739,1.137,542.2914591351924
2022-10-17,2022-10-18,Buy,1087850.2784865093,0.996,541.7494386862963
2022-11-21,2022-11-22,Sell,1087850.2784865093,1.061,577.1045727370932
2022-12-02,2022-12-05,Buy,1103402.4049233273,1.045,576.5277565724682
2022-12-07,2022-12-08,Sell,1103402.4049233273,1.026,566.045433725667
2022-12-12,2022-12-13,Buy,1100155.0022825242,1.028,565.4796711732633
2022-12-15,2022-12-16,Sell,1100155.0022825242,1.01,555.5782761526748
2022-12-27,2022-12-28,Buy,1128095.4787130794,0.984,555.0229755267501
2023-01-13,2023-01-16,Sell,1128095.4787130794,0.999,563.4836916171831
2023-01-18,2023-01-19,Buy,1095176.0496626678,1.028,562.9204895265866
2023-02-08,2023-02-09,Sell,1095176.0496626678,1.032,565.1108416259366
2023-02-09,2023-02-10,Buy,1063175.166098916,1.062,564.5460131985601
2023-02-17,2023-02-20,Sell,1063175.166098916,1.01,536.9034588799526
2023-02-28,2023-03-01,Buy,1057922.7292675409,1.014,536.3668237386737
2023-03-07,2023-03-08,Sell,1057922.7292675409,1.012,535.3089010093757
2023-03-09,2023-03-10,Buy,1052704.448088694,1.016,534.7738596289419
2023-03-16,2023-03-17,Sell,1052704.448088694,1.019,536.3529163011895
2023-03-17,2023-03-20,Buy,1033397.939107667,1.037,535.8168314271607
2023-04-21,2023-04-24,Sell,1033397.939107667,1.136,586.9700294131549
2023-04-28,2023-05-04,Buy,1062288.682467549,1.104,586.3833527220413
2023-05-08,2023-05-09,Sell,1062288.682467549,1.082,574.6981772149442
2023-05-16,2023-05-17,Buy,1096702.5143136869,1.047,574.123766243225
2023-05-23,2023-05-24,Sell,1096702.5143136869,1.038,569.1886049288036
2023-05-25,2023-05-26,Buy,1088267.3699061268,1.045,568.6197007759474
2023-06-06,2023-06-07,Sell,1088267.3699061268,1.052,572.4286365706226
2023-06-09,2023-06-12,Buy,1086147.1870946528,1.053,571.8564940053038
2023-06-26,2023-06-27,Sell,1086147.1870946528,1.035,562.0811693214828
2023-07-03,2023-07-04,Buy,1089271.3269685663,1.031,561.5193690522574
2023-07-06,2023-07-07,Sell,1089271.3269685663,1.024,557.706919407906
2023-07-31,2023-08-01,Buy,1122154.0608310185,0.993,557.1494912025519
2023-08-08,2023-08-09,Sell,1122154.0608310185,0.988,554.3441060505231
2023-08-30,2023-08-31,Buy,1154932.3023524692,0.959,553.7900389779825
2023-09-07,2023-09-08,Sell,1154932.3023524692,0.917,529.5364606286072
2023-09-27,2023-09-28,Buy,1171665.977417256,0.903,529.0071888037492
2023-10-16,2023-10-17,Sell,1171665.977417256,0.896,524.9063578829307
2023-10-27,2023-10-30,Buy,1191776.6223796948,0.88,524.3817138469312
2023-11-22,2023-11-23,Sell,1191776.6223796948,0.892,531.5323735813439
2023-12-08,2023-12-11,Buy,1204084.1424968997,0.882,531.001106841024
2023-12-15,2023-12-18,Sell,1204084.1424968997,0.867,521.9704757724061
2023-12-28,2023-12-29,Buy,1200112.2351011373,0.869,521.4487661514431
2024-01-03,2024-01-04,Sell,1200112.2351011373,0.849,509.4476438004328
2024-02-07,2024-02-08,Buy,1325360.548836344,0.768,508.93845075310674
2024-03-14,2024-03-15,Sell,1325360.548836344,0.821,544.0605052973192
2024-03-18,2024-03-19,Buy,1289482.1273696972,0.843,543.5167166863102
2024-03-21,2024-03-22,Sell,1289482.1273696972,0.822,529.9771543489455
2024-04-18,2024-04-19,Buy,1395118.4243761413,0.759,529.4474420507904
2024-04-23,2024-04-24,Sell,1395118.4243761413,0.746,520.3791722923007
2024-04-24,2024-04-25,Buy,1380767.7375287246,0.753,519.8590531795053
2024-05-15,2024-05-16,Sell,1380767.7375287246,0.768,530.2148112110302
2024-06-03,2024-06-04,Buy,1381186.0792040087,0.767,529.6848613747861
2024-06-26,2024-06-27,Sell,1381186.0792040087,0.744,513.8012214638912
2024-07-11,2024-07-12,Buy,1402425.3470345682,0.732,513.2876770145958
2024-07-24,2024-07-25,Sell,1402425.3470345682,0.727,509.78161364706557
2024-07-31,2024-08-01,Buy,1333173.002085978,0.764,509.27208679681644
2024-08-05,2024-08-06,Sell,1333173.002085978,0.73,486.60814576138193
2024-09-24,2024-09-25,Buy,1411093.7033326626,0.689,486.121780798072
2024-10-30,2024-10-31,Sell,1411093.7033326626,0.981,692.141461484671
